Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Tony Meola\Tony-Meola,us USA,GK,Kansas City Wizards,33,30,30,0,2797,93,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06
2,Kevin Hartman\Kevin-Hartman,us USA,GK,LA Galaxy,28,30,30,0,2796,93,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Todd Dunivant\Todd-Dunivant,us USA,DF,San Jose Earthquakes,22,30,30,0,2778,93,1,3,0,0,17,2,0,11,0.03,0.13,0.03,0.13,0.36,0.55,0.06
4,Jimmy Conrad\Jimmy-Conrad,us USA,DF,Kansas City Wizards,25,30,30,0,2777,93,4,0,0,0,44,2,0,8,0.13,0.13,0.13,0.13,0.26,1.43,0.06
5,Jim Curtin\Jim-Curtin,us USA,DF,Chicago Fire,23,30,30,0,2733,91,0,0,0,0,36,4,0,3,0.00,0.00,0.00,0.00,0.10,1.19,0.13
6,Zach Thornton\Zach-Thornton,us USA,GK,Chicago Fire,29,30,30,0,2728,91,0,0,0,0,0,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.10
7,Brian Mullan\Brian-Mullan,us USA,MF,San Jose Earthquakes,24,30,30,0,2723,91,6,5,0,0,57,6,0,19,0.20,0.36,0.20,0.36,0.63,1.88,0.20
8,Nick Garcia\Nick-Garcia,us USA,DF,Kansas City Wizards,23,29,29,0,2689,93,0,0,0,0,35,5,1,2,0.00,0.00,0.00,0.00,0.07,1.17,0.20
9,Preki\Preki,us USA,MFFW,Kansas City Wizards,39,30,30,0,2678,89,12,12,5,6,20,5,0,34,0.40,0.81,0.24,0.64,1.14,0.67,0.17
10,Mike Clark\Mike-Clark,us USA,DF,Columbus Crew,30,29,29,0,2673,92,0,1,0,0,44,5,1,2,0.00,0.03,0.00,0.03,0.07,1.48,0.20
11,Mark Chung\Mark-Chung,us USA,MF,Colorado Rapids,32,29,29,0,2639,91,11,4,0,0,23,1,1,39,0.38,0.51,0.38,0.51,1.33,0.78,0.07
12,Wes Hart\Wes-Hart,us USA,DF,Colorado Rapids,25,29,29,0,2623,90,0,1,0,0,34,5,0,4,0.00,0.03,0.00,0.03,0.14,1.17,0.17
13,Jeff Agoos\Jeff-Agoos,us USA,DF,San Jose Earthquakes,34,28,28,0,2593,93,2,2,1,1,21,6,0,4,0.07,0.14,0.03,0.10,0.14,0.73,0.21
14,Ricardo Clark\Ricardo-Clark,us USA,MF,MetroStars,19,28,28,0,2590,93,3,1,0,0,46,5,0,15,0.10,0.14,0.10,0.14,0.52,1.60,0.17
15,Brandon Prideaux\Brandon-Prideaux,us USA,DF,D.C. United,26,28,27,1,2586,92,0,0,0,0,39,6,0,0,0.00,0.00,0.00,0.00,0.00,1.36,0.21
16,Jay Heaps\Jay-Heaps,us USA,MFDF,New England Revolution,26,28,28,0,2579,92,3,1,0,0,50,5,1,9,0.10,0.14,0.10,0.14,0.31,1.74,0.21
17,Cobi Jones\Cobi-Jones,us USA,FWMF,LA Galaxy,32,28,28,0,2574,92,2,5,0,0,21,4,0,8,0.07,0.24,0.07,0.24,0.28,0.73,0.14
18,Chris Klein\Chris-Klein,us USA,MFDF,Kansas City Wizards,27,27,27,0,2527,94,6,3,0,0,19,1,0,16,0.21,0.32,0.21,0.32,0.57,0.68,0.04
19,Pat Onstad\Pat-Onstad,ca CAN,GK,San Jose Earthquakes,35,27,27,0,2510,93,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,Kerry Zavagnin\Kerry-Zavagnin,us USA,MF,Kansas City Wizards,28,29,27,2,2487,86,1,1,0,0,49,6,0,2,0.04,0.07,0.04,0.07,0.07,1.77,0.22
21,Shalrie Joseph\Shalrie-Joseph,gd GRN,DFMF,New England Revolution,24,28,27,1,2466,88,2,1,0,0,62,5,0,17,0.07,0.11,0.07,0.11,0.62,2.26,0.18
22,Chris Carrieri\Chris-Carrieri,us USA,MF,Colorado Rapids,22,30,27,3,2458,82,3,4,0,0,29,5,0,27,0.11,0.26,0.11,0.26,0.99,1.06,0.18
23,Dema Kovalenko\Dema-Kovalenko,ua UKR,MF,D.C. United,25,26,26,0,2401,92,6,0,0,0,67,6,1,14,0.22,0.22,0.22,0.22,0.52,2.51,0.26
24,Joe Franchino\Joe-Franchino,us USA,MFDF,New England Revolution,26,25,25,0,2355,94,1,2,0,0,48,7,0,8,0.04,0.11,0.04,0.11,0.31,1.83,0.27
25,Steve Ralston\Steve-Ralston,us USA,MF,New England Revolution,28,26,25,1,2348,90,4,6,1,1,18,1,0,15,0.15,0.38,0.11,0.34,0.57,0.69,0.04
26,Adin Brown\Adin-Brown,us USA,GK,New England Revolution,24,25,25,0,2347,94,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,Scott Garlick\Scott-Garlick,us USA,GK,Colorado Rapids,30,26,26,0,2346,90,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.08
28,Mike Petke\Mike-Petke,us USA,DF,D.C. United,27,25,25,0,2343,94,3,0,0,0,41,9,0,8,0.12,0.12,0.12,0.12,0.31,1.57,0.35
29,Richie Williams\Richie-Williams,us USA,MF,MetroStars,32,26,26,0,2337,90,0,1,0,0,51,6,0,4,0.00,0.04,0.00,0.04,0.15,1.96,0.23
30,Eric Denton\Eric-Denton,us USA,DF,Columbus Crew,24,26,25,1,2336,90,2,0,0,0,31,7,0,7,0.08,0.08,0.08,0.08,0.27,1.19,0.27
31,Robin Fraser\Robin-Fraser,us USA,DF,Colorado Rapids,36,26,26,0,2335,90,0,0,0,0,27,2,1,0,0.00,0.00,0.00,0.00,0.00,1.04,0.12
32,Ritchie Kotschau\Ritchie-Kotschau,us USA,DF,Colorado Rapids,27,26,25,1,2333,90,1,0,0,0,37,6,0,3,0.04,0.04,0.04,0.04,0.12,1.43,0.23
33,Carlos Ruíz\Carlos-Ruiz,gt GUA,FW,LA Galaxy,23,26,25,1,2331,90,15,4,7,8,76,7,1,51,0.58,0.73,0.31,0.46,1.97,2.93,0.31
34,Richard Mulrooney\Richard-Mulrooney,us USA,DFMF,San Jose Earthquakes,26,25,25,0,2330,93,0,5,0,0,29,2,0,7,0.00,0.19,0.00,0.19,0.27,1.12,0.08
35,Evan Whitfield\Evan-Whitfield,us USA,DF,Chicago Fire,25,27,25,2,2329,86,1,0,0,0,57,6,0,8,0.04,0.04,0.04,0.04,0.31,2.20,0.23
36,Brian Kamler\Brian-Kamler,us USA,MF,New England Revolution,30,28,28,0,2322,83,6,3,0,0,27,1,1,18,0.23,0.35,0.23,0.35,0.70,1.05,0.08
37,Nick Rimando\Nick-Rimando,us USA,GK,D.C. United,23,25,25,0,2318,93,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,Ryan Nelsen\Ryan-Nelsen,nz NZL,DF,D.C. United,25,25,25,0,2314,93,1,0,0,0,39,5,1,12,0.04,0.04,0.04,0.04,0.47,1.52,0.23
39,Hong Myung-bo\Hong-Myung-bo,kr KOR,DF,LA Galaxy,33,25,25,0,2296,92,0,2,0,0,27,4,0,0,0.00,0.08,0.00,0.08,0.00,1.06,0.16
40,Ante Razov\Ante-Razov,us USA,FW,Chicago Fire,28,26,25,1,2270,87,14,4,5,6,40,3,1,67,0.56,0.71,0.36,0.52,2.66,1.59,0.16
