Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Kevin Hartman\Kevin-Hartman,us USA,GK,Kansas City Wizards,32,30,30,0,2700,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
2,Matt Reis\Matt-Reis,us USA,GK,New England Revolution,31,30,30,0,2700,90,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.07
3,Bouna Coundoul\Bouna-Coundoul,sn SEN,GK,Colorado Rapids,24,30,30,0,2668,89,0,0,0,0,0,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.10
4,Wade Barrett\Wade-Barrett,us USA,DF,Houston Dynamo,30,30,30,0,2649,88,0,2,0,0,11,2,0,2,0.00,0.07,0.00,0.07,0.07,0.37,0.07
5,Troy Perkins\Troy-Perkins,us USA,GK,D.C. United,25,29,29,0,2610,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Joe Cannon\Joe-Cannon,us USA,GK,LA Galaxy,32,29,29,0,2610,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
7,C. J. Brown\C-J-Brown,us USA,DF,Chicago Fire,31,29,29,0,2565,88,0,0,0,0,31,7,0,2,0.00,0.00,0.00,0.00,0.07,1.09,0.25
8,Kerry Zavagnin\Kerry-Zavagnin,us USA,MF,Kansas City Wizards,32,29,29,0,2564,88,3,0,0,0,35,6,0,5,0.11,0.11,0.11,0.11,0.18,1.23,0.21
9,Seth Stammler\Seth-Stammler,us USA,DFMF,New York Red Bulls,25,29,28,1,2547,88,0,1,0,0,46,3,0,5,0.00,0.04,0.00,0.04,0.18,1.63,0.11
10,Drew Moor\Drew-Moor,us USA,DF,FC Dallas,23,28,28,0,2495,89,2,0,0,0,17,3,0,3,0.07,0.07,0.07,0.07,0.11,0.61,0.11
11,Davy Arnaud\Davy-Arnaud,us USA,FWMF,Kansas City Wizards,26,28,28,0,2489,89,4,9,0,0,46,6,1,29,0.14,0.47,0.14,0.47,1.05,1.66,0.25
