Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Zac MacMath\Zac-MacMath,us USA,GK,Philadelphia Union,21,34,34,0,3060,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
2,Luis Robles\Luis-Robles,us USA,GK,New York Red Bulls,28,34,34,0,3060,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
3,Austin Berry\Austin-Berry,us USA,DF,Chicago Fire,24,34,34,0,3060,90,1,2,0,0,17,2,0,5,0.03,0.09,0.03,0.09,0.15,0.50,0.06
4,Jimmy Nielsen\Jimmy-Nielsen,dk DEN,GK,Sporting KC,35,34,34,0,3060,90,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06
5,José Gonçalves\Jose-Goncalves,pt POR,DF,New England Revolution,27,34,34,0,3060,90,2,0,0,0,32,3,0,6,0.06,0.06,0.06,0.06,0.18,0.94,0.09
6,Jalil Anibaba\Jalil-Anibaba,us USA,DF,Chicago Fire,24,34,34,0,3060,90,1,1,0,0,15,3,0,7,0.03,0.06,0.03,0.06,0.21,0.44,0.09
7,Tally Hall\Tally-Hall,us USA,GK,Houston Dynamo,27,34,34,0,3060,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Jon Busch\Jon-Busch,us USA,GK,San Jose Earthquakes,36,33,33,0,2970,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
9,Troy Perkins\Troy-Perkins,us USA,GK,Montreal Impact,31,33,33,0,2970,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Joe Bendik\Joe-Bendik,us USA,GK,Toronto FC,23,33,33,0,2970,90,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06
11,Brian Carroll\Brian-Carroll,us USA,MF,Philadelphia Union,31,33,33,0,2968,90,2,1,0,0,41,6,0,5,0.06,0.09,0.06,0.09,0.15,1.24,0.18
12,Sam Cronin\Sam-Cronin,us USA,MF,San Jose Earthquakes,26,34,34,0,2968,87,2,4,0,0,48,4,0,7,0.06,0.18,0.06,0.18,0.21,1.46,0.12
13,Michael Harrington\Michael-Harrington,us USA,MFDF,Portland Timbers,27,33,33,0,2948,89,0,1,0,0,26,2,0,0,0.00,0.03,0.00,0.03,0.00,0.79,0.06
14,Kofi Sarkodie\Kofi-Sarkodie,us USA,DF,Houston Dynamo,21,33,33,0,2946,89,0,3,0,0,38,7,0,2,0.00,0.09,0.00,0.09,0.06,1.16,0.21
15,Marcelo Sarvas\Marcelo-Sarvas,br BRA,MF,LA Galaxy,31,33,33,0,2890,88,4,2,0,0,80,9,0,15,0.12,0.19,0.12,0.19,0.47,2.49,0.28
16,Donovan Ricketts\Donovan-Ricketts,jm JAM,GK,Portland Timbers,35,32,32,0,2880,90,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06
17,Amobi Okugo\Amobi-Okugo,us USA,DFMF,Philadelphia Union,21,32,32,0,2880,90,3,2,0,0,36,7,1,6,0.09,0.16,0.09,0.16,0.19,1.13,0.25
18,Clint Irwin\Clint-Irwin,us USA,GK,Colorado Rapids,23,32,31,1,2874,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
19,Hassoun Camara\Hassoun-Camara,fr FRA,DF,Montreal Impact,28,32,32,0,2873,90,3,2,0,0,35,7,0,6,0.09,0.16,0.09,0.16,0.19,1.10,0.22
20,Sheanon Williams\Sheanon-Williams,us USA,DF,Philadelphia Union,22,32,32,0,2867,90,2,5,0,0,40,6,1,2,0.06,0.22,0.06,0.22,0.06,1.26,0.22
21,Markus Holgersson\Markus-Holgersson,se SWE,DF,New York Red Bulls,27,32,32,0,2865,90,0,1,0,0,40,3,0,1,0.00,0.03,0.00,0.03,0.03,1.26,0.09
22,Gonzalo Segares\Gonzalo-Segares,cr CRC,DF,Chicago Fire,30,32,32,0,2853,89,0,1,0,0,43,7,0,3,0.00,0.03,0.00,0.03,0.09,1.36,0.22
23,Dominic Oduro\Dominic-Oduro,gh GHA,FW,Columbus Crew,27,34,34,0,2840,84,13,3,0,0,25,3,1,36,0.41,0.51,0.41,0.51,1.14,0.79,0.13
24,Lee Nguyen\Lee-Nguyen,us USA,FWMF,New England Revolution,26,33,32,1,2834,86,4,6,2,2,64,7,0,22,0.13,0.32,0.06,0.25,0.70,2.03,0.22
25,Darlington Nagbe\Darlington-Nagbe,us USA,FWMF,Portland Timbers,22,34,34,0,2834,83,9,3,0,0,8,1,0,24,0.29,0.38,0.29,0.38,0.76,0.25,0.03
26,Bobby Boswell\Bobby-Boswell,us USA,DF,Houston Dynamo,29,32,32,0,2830,88,0,0,0,0,29,3,1,3,0.00,0.00,0.00,0.00,0.10,0.92,0.13
