Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Jon Busch\Jon-Busch,us USA,GK,San Jose Earthquakes,37,34,34,0,3060,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Luis Robles\Luis-Robles,us USA,GK,New York Red Bulls,29,34,34,0,3060,90,0,0,0,0,0,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.09
3,Stefan Frei\Stefan-Frei,ch SUI,GK,Seattle Sounders FC,27,34,34,0,3060,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
4,David Ousted\David-Ousted,dk DEN,GK,Vancouver Whitecaps FC,28,34,34,0,3060,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
5,Steve Clark\Steve-Clark,us USA,GK,Columbus Crew,27,34,34,0,3060,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
6,Ray Gaddis\Ray-Gaddis,us USA,DF,Philadelphia Union,24,34,34,0,3050,90,0,2,0,0,36,3,0,2,0.00,0.06,0.00,0.06,0.06,1.06,0.09
7,Bobby Boswell\Bobby-Boswell,us USA,DF,D.C. United,30,34,34,0,3044,90,1,3,0,0,36,2,0,5,0.03,0.12,0.03,0.12,0.15,1.06,0.06
8,Giles Barnes\Giles-Barnes,jm JAM,FWMF,Houston Dynamo,25,34,34,0,3024,89,11,5,2,3,52,4,0,41,0.33,0.48,0.27,0.42,1.22,1.55,0.12
9,Jeff Larentowicz\Jeff-Larentowicz,us USA,MFDF,Chicago Fire,30,33,33,0,2970,90,6,3,4,5,50,2,0,19,0.18,0.27,0.06,0.15,0.58,1.52,0.06
10,Sean Johnson\Sean-Johnson,us USA,GK,Chicago Fire,24,33,33,0,2970,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
