Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Todd Dunivant\Todd-Dunivant,us USA,DF,LA Galaxy,24,32,32,0,2880,90,0,1,0,0,34,3,0,3,0.00,0.03,0.00,0.03,0.09,1.06,0.09
2,Michael Parkhurst\Michael-Parkhurst,us USA,DF,New England Revolution,21,32,32,0,2880,90,0,0,0,0,6,2,0,0,0.00,0.00,0.00,0.00,0.00,0.19,0.06
3,Bo Oshoniyi\Bo-Oshoniyi,us USA,GK,Kansas City Wizards,33,32,32,0,2880,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Simon Elliott\Simon-Elliott,nz NZL,MF,Columbus Crew,30,32,32,0,2880,90,1,5,1,1,26,5,0,9,0.03,0.19,0.00,0.16,0.28,0.81,0.16
5,Pat Onstad\Pat-Onstad,ca CAN,GK,San Jose Earthquakes,37,32,32,0,2880,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Kevin Hartman\Kevin-Hartman,us USA,GK,LA Galaxy,30,31,31,0,2790,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Jay Heaps\Jay-Heaps,us USA,MFDF,New England Revolution,28,31,31,0,2790,90,1,4,0,0,37,7,0,10,0.03,0.16,0.03,0.16,0.32,1.19,0.23
8,Shalrie Joseph\Shalrie-Joseph,gd GRN,MFDF,New England Revolution,26,31,31,0,2788,90,6,5,2,2,65,8,0,18,0.19,0.36,0.13,0.29,0.58,2.10,0.26
9,Matt Reis\Matt-Reis,us USA,GK,New England Revolution,29,31,31,0,2784,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Chris Klein\Chris-Klein,us USA,MFDF,Kansas City Wizards,29,31,31,0,2765,89,7,5,0,0,26,0,0,34,0.23,0.39,0.23,0.39,1.11,0.85,0.00
