Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Drew Moor\Drew-Moor,us USA,DF,Colorado Rapids,28,34,34,0,3060,90,3,1,0,0,25,3,0,8,0.09,0.12,0.09,0.12,0.24,0.74,0.09
2,Jimmy Nielsen\Jimmy-Nielsen,dk DEN,GK,Sporting KC,34,34,34,0,3060,90,0,0,0,0,0,4,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.12
3,Eddie Gaven\Eddie-Gaven,us USA,GKMF,Columbus Crew,25,34,34,0,2986,88,9,1,0,0,29,2,0,27,0.27,0.30,0.27,0.30,0.81,0.87,0.06
4,Justin Morrow\Justin-Morrow,us USA,DF,San Jose Earthquakes,24,33,33,0,2970,90,1,1,0,0,25,2,0,2,0.03,0.06,0.03,0.06,0.06,0.76,0.06
5,Lee Young-pyo\Lee-Young-pyo,kr KOR,DF,Vancouver Whitecaps FC,34,33,33,0,2970,90,1,4,0,0,23,2,0,2,0.03,0.15,0.03,0.15,0.06,0.70,0.06
6,Brandon McDonald\Brandon-McDonald,gu GUM,DF,D.C. United,26,33,33,0,2962,90,2,3,0,0,29,4,0,3,0.06,0.15,0.06,0.15,0.09,0.88,0.12
7,Steven Beitashour\Steven-Beitashour,ir IRN,DFMF,San Jose Earthquakes,24,33,33,0,2954,90,0,4,0,0,29,6,0,2,0.00,0.12,0.00,0.12,0.06,0.88,0.18
8,Tally Hall\Tally-Hall,us USA,GK,Houston Dynamo,26,33,33,0,2946,89,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
9,Sean Franklin\Sean-Franklin,us USA,DF,LA Galaxy,26,34,33,1,2936,86,0,4,0,0,22,2,0,4,0.00,0.12,0.00,0.12,0.12,0.67,0.06
10,Bobby Boswell\Bobby-Boswell,us USA,DF,Houston Dynamo,28,33,33,0,2929,89,2,0,0,0,22,4,0,7,0.06,0.06,0.06,0.06,0.22,0.68,0.12
11,Carlos Valdés\Carlos-Valdes,co COL,DF,Philadelphia Union,26,33,33,0,2921,89,2,0,0,0,36,4,0,5,0.06,0.06,0.06,0.06,0.15,1.11,0.12
12,Andy Gruenebaum\Andy-Gruenebaum,us USA,GK,Columbus Crew,29,33,33,0,2918,88,0,1,0,0,0,2,0,0,0.00,0.03,0.00,0.03,0.00,0.00,0.06
13,Dax McCarty\Dax-McCarty,us USA,MF,New York Red Bulls,24,33,33,0,2914,88,3,2,0,0,40,6,0,10,0.09,0.15,0.09,0.15,0.31,1.24,0.19
14,Brian Carroll\Brian-Carroll,us USA,MF,Philadelphia Union,30,33,32,1,2898,88,1,1,0,0,37,4,0,4,0.03,0.06,0.03,0.06,0.12,1.15,0.12
15,Zac MacMath\Zac-MacMath,us USA,GK,Philadelphia Union,20,32,32,0,2880,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
16,Dan Kennedy\Dan-Kennedy,us USA,GK,Chivas USA,29,32,32,0,2880,90,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06
17,James Riley\James-Riley,us USA,DF,Chivas USA,29,32,32,0,2880,90,0,0,0,0,25,2,0,0,0.00,0.00,0.00,0.00,0.00,0.78,0.06
18,Sebastián Miranda\Sebastian-Miranda,cl CHI,DF,Columbus Crew,31,33,33,0,2873,87,1,1,0,0,18,3,0,2,0.03,0.06,0.03,0.06,0.06,0.56,0.09
19,Kei Kamara\Kei-Kamara,sl SLE,FW,Sporting KC,27,33,32,1,2869,87,11,7,2,3,46,3,0,49,0.35,0.56,0.28,0.50,1.54,1.44,0.09
20,Jalil Anibaba\Jalil-Anibaba,us USA,DF,Chicago Fire,23,33,32,1,2868,87,1,1,0,0,22,1,1,5,0.03,0.06,0.03,0.06,0.16,0.69,0.06
21,Matt Pickens\Matt-Pickens,us USA,GK,Colorado Rapids,29,32,32,0,2858,89,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
22,Tony Beltran\Tony-Beltran,us USA,DF,Real Salt Lake,24,32,32,0,2852,89,0,1,0,0,28,4,0,4,0.00,0.03,0.00,0.03,0.13,0.88,0.13
23,Jon Busch\Jon-Busch,us USA,GK,San Jose Earthquakes,35,32,32,0,2834,89,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,Chris Wondolowski\Chris-Wondolowski,us USA,FW,San Jose Earthquakes,29,32,31,1,2813,88,27,5,5,7,19,3,0,55,0.86,1.02,0.70,0.86,1.76,0.61,0.10
25,Perry Kitchen\Perry-Kitchen,us USA,DFMF,D.C. United,19,32,32,0,2801,88,0,1,0,0,43,2,0,0,0.00,0.03,0.00,0.03,0.00,1.38,0.06
26,Richard Eckersley\Richard-Eckersley,eng ENG,DF,Toronto FC,22,33,32,1,2801,85,0,1,0,0,37,4,0,0,0.00,0.03,0.00,0.03,0.00,1.19,0.13
27,Michael Farfan\Michael-Farfan,us USA,MF,Philadelphia Union,23,32,31,1,2799,88,1,4,0,1,74,7,0,15,0.03,0.16,0.03,0.16,0.48,2.38,0.23
28,Markus Holgersson\Markus-Holgersson,se SWE,DF,New York Red Bulls,26,31,31,0,2790,90,3,0,0,0,23,2,0,5,0.10,0.10,0.10,0.10,0.16,0.74,0.06
29,Nick Rimando\Nick-Rimando,us USA,GK,Real Salt Lake,32,31,31,0,2790,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,Graham Zusi\Graham-Zusi,us USA,MFFW,Sporting KC,25,32,31,1,2782,87,5,11,1,1,39,3,0,24,0.16,0.52,0.13,0.49,0.78,1.26,0.10
31,Jeff Larentowicz\Jeff-Larentowicz,us USA,MFDF,Colorado Rapids,28,32,32,0,2776,87,3,0,2,2,61,8,1,16,0.10,0.10,0.03,0.03,0.52,1.98,0.29
32,Darlington Nagbe\Darlington-Nagbe,us USA,FWMF,Portland Timbers,21,33,31,2,2772,84,6,0,0,0,16,0,0,16,0.19,0.19,0.19,0.19,0.52,0.52,0.00
33,Matt Besler\Matt-Besler,us USA,DF,Sporting KC,24,31,30,1,2769,89,0,1,0,0,26,3,0,1,0.00,0.03,0.00,0.03,0.03,0.85,0.10
34,Ryan Johnson\Ryan-Johnson,jm JAM,FWMF,Toronto FC,27,31,31,0,2768,89,7,2,0,1,46,6,0,23,0.23,0.29,0.23,0.29,0.75,1.50,0.20
35,Sean Johnson\Sean-Johnson,us USA,GK,Chicago Fire,22,31,31,0,2766,89,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.07
36,Jack Jewsbury\Jack-Jewsbury,us USA,MFDF,Portland Timbers,30,32,31,1,2765,86,3,4,0,0,36,5,0,10,0.10,0.23,0.10,0.23,0.33,1.17,0.16
37,Davy Arnaud\Davy-Arnaud,us USA,FWMF,Montreal Impact,31,33,31,2,2762,84,4,3,0,0,42,7,0,13,0.13,0.23,0.13,0.23,0.42,1.37,0.23
38,Patrick Nyarko\Patrick-Nyarko,gh GHA,MFFW,Chicago Fire,26,34,31,3,2749,81,4,6,0,0,41,3,0,13,0.13,0.33,0.13,0.33,0.43,1.34,0.10
39,Jay DeMerit\Jay-DeMerit,us USA,DF,Vancouver Whitecaps FC,32,31,31,0,2724,88,1,1,0,0,18,4,0,5,0.03,0.07,0.03,0.07,0.17,0.59,0.13
40,Kevin Hartman\Kevin-Hartman,us USA,GK,FC Dallas,37,30,30,0,2700,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,Zach Loyd\Zach-Loyd,us USA,DF,FC Dallas,24,32,31,1,2696,84,2,2,0,0,36,4,2,3,0.07,0.13,0.07,0.13,0.10,1.20,0.20
