Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Luis Robles\Luis-Robles,us USA,GK,New York Red Bulls,30,34,34,0,3060,90,0,0,0,0,0,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.09
2,David Ousted\David-Ousted,dk DEN,GK,Vancouver Whitecaps FC,29,34,34,0,3060,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,David Bingham\David-Bingham,us USA,GK,San Jose Earthquakes,25,34,34,0,3060,90,0,0,0,0,0,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.09
4,Steve Clark\Steve-Clark,us USA,GK,Columbus Crew,28,34,34,0,3060,90,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06
5,Bobby Boswell\Bobby-Boswell,us USA,DF,D.C. United,31,34,33,1,2976,88,2,0,0,0,21,5,0,4,0.06,0.06,0.06,0.06,0.12,0.64,0.15
6,Adam Larsen Kwarasey\Adam-Larsen-Kwarasey,gh GHA,GK,Portland Timbers,27,33,33,0,2970,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
7,Josh Saunders\Josh-Saunders,pr PUR,GK,New York City FC,33,33,33,0,2970,90,0,0,0,0,0,4,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.12
8,Tyrone Mears\Tyrone-Mears,jm JAM,DF,Seattle Sounders FC,31,33,33,0,2959,90,1,2,0,0,29,3,0,3,0.03,0.09,0.03,0.09,0.09,0.88,0.09
9,Jorge Villafaña\Jorge-Villafana,us USA,FWMF,Portland Timbers,25,33,33,0,2924,89,1,4,0,0,26,3,0,7,0.03,0.15,0.03,0.15,0.22,0.80,0.09
10,Felipe\Felipe,br BRA,MF,New York Red Bulls,24,34,34,0,2917,86,3,3,0,0,33,5,0,13,0.09,0.19,0.09,0.19,0.40,1.02,0.15
11,Victor Ulloa\Victor-Ulloa,mx MEXus USA,MF,FC Dallas,22,33,33,0,2912,88,2,1,0,0,41,4,0,5,0.06,0.09,0.06,0.09,0.15,1.27,0.12
12,Michael Parkhurst\Michael-Parkhurst,us USA,DF,Columbus Crew,31,33,33,0,2896,88,0,1,0,0,15,2,1,0,0.00,0.03,0.00,0.03,0.00,0.47,0.09
13,Scott Caldwell\Scott-Caldwell,us USA,MF,New England Revolution,23,34,32,2,2881,85,2,4,0,0,42,3,0,5,0.06,0.19,0.06,0.19,0.16,1.31,0.09
14,Liam Ridgewell\Liam-Ridgewell,eng ENG,DF,Portland Timbers,30,32,32,0,2868,90,0,0,0,0,19,6,1,2,0.00,0.00,0.00,0.00,0.06,0.60,0.22
15,Bradley Wright-Phillips\Bradley-Wright-Phillips,eng ENG,FW,New York Red Bulls,29,34,33,1,2855,84,17,6,2,4,47,3,0,51,0.54,0.73,0.47,0.66,1.61,1.48,0.09
16,Vitor Junior\Vitor-Junior,br BRA,MF,LA Galaxy,26,34,32,2,2852,84,4,5,1,2,29,5,0,13,0.13,0.28,0.09,0.25,0.41,0.92,0.16
17,Sacha Kljestan\Sacha-Kljestan,us USA,MF,New York Red Bulls,29,33,33,0,2837,86,8,11,5,6,43,4,1,22,0.25,0.60,0.10,0.44,0.70,1.36,0.16
18,Andrew Jacobson\Andrew-Jacobson,us USA,MF,New York City FC,29,33,33,0,2833,86,1,2,0,0,46,5,1,3,0.03,0.10,0.03,0.10,0.10,1.46,0.19
