Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Luis Robles\Luis-Robles,us USA,GK,New York Red Bulls,31,34,34,0,3060,90,0,0,0,0,0,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.09
2,Joe Bendik\Joe-Bendik,us USA,GK,Orlando City,26,34,34,0,3060,90,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06
3,Keegan Rosenberry\Keegan-Rosenberry,us USA,DF,Philadelphia Union,22,34,34,0,3060,90,2,0,0,0,13,0,0,7,0.06,0.06,0.06,0.06,0.21,0.38,0.00
4,Michael Parkhurst\Michael-Parkhurst,us USA,DF,Columbus Crew,32,34,34,0,3034,89,0,2,0,0,11,2,1,0,0.00,0.06,0.00,0.06,0.00,0.33,0.09
5,David Bingham\David-Bingham,us USA,GK,San Jose Earthquakes,26,34,33,1,3016,89,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06
6,Stefan Frei\Stefan-Frei,ch SUI,GK,Seattle Sounders FC,29,33,33,0,2970,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,David Ousted\David-Ousted,dk DEN,GK,Vancouver Whitecaps FC,30,33,33,0,2970,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Richie Marquez\Richie-Marquez,us USA,DF,Philadelphia Union,23,33,33,0,2970,90,2,0,0,0,31,4,0,5,0.06,0.06,0.06,0.06,0.15,0.94,0.12
9,Josh Saunders\Josh-Saunders,pr PUR,GK,New York City FC,34,33,33,0,2970,90,0,0,0,0,0,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.09
10,Evan Bush\Evan-Bush,us USA,GK,Montreal Impact,29,33,33,0,2931,89,0,0,0,0,0,3,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.12
11,Sam Cronin\Sam-Cronin,us USA,MF,Colorado Rapids,29,33,33,0,2920,89,1,1,0,0,54,6,0,8,0.03,0.06,0.03,0.06,0.25,1.66,0.18
12,Felipe\Felipe,br BRA,MF,New York Red Bulls,25,33,33,0,2895,88,5,7,0,0,50,6,1,22,0.16,0.37,0.16,0.37,0.68,1.55,0.22
13,Lee Nguyen\Lee-Nguyen,us USA,FWMF,New England Revolution,29,33,33,0,2894,88,6,4,3,4,36,2,0,29,0.19,0.31,0.09,0.22,0.90,1.12,0.06
14,Andrew Farrell\Andrew-Farrell,us USA,DF,New England Revolution,23,33,32,1,2892,88,0,0,0,0,15,1,0,1,0.00,0.00,0.00,0.00,0.03,0.47,0.03
15,Drew Moor\Drew-Moor,us USA,DF,Toronto FC,32,32,32,0,2880,90,3,0,0,0,15,3,0,7,0.09,0.09,0.09,0.09,0.22,0.47,0.09
16,Andre Blake\Andre-Blake,jm JAM,GK,Philadelphia Union,25,32,32,0,2880,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Steve Clark\Steve-Clark,us USA,GK,Columbus Crew,29,32,32,0,2880,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
18,David Villa\David-Villa,es ESP,FWMF,New York City FC,34,33,32,1,2869,87,23,4,5,6,47,5,0,68,0.72,0.85,0.56,0.69,2.13,1.47,0.16
