Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Jon Busch\Jon-Busch,us USA,GK,Chicago Fire,32,30,30,0,2700,90,0,0,0,0,0,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.10
2,Darrius Barnes\Darrius-Barnes,us USA,DF,New England Revolution,22,30,30,0,2700,90,0,0,0,0,18,3,0,0,0.00,0.00,0.00,0.00,0.00,0.60,0.10
3,Kevin Hartman\Kevin-Hartman,us USA,GK,Kansas City Wizards,34,30,30,0,2700,90,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.07
4,Pat Onstad\Pat-Onstad,ca CAN,GK,Houston Dynamo,41,30,30,0,2700,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
5,David Ferreira\David-Ferreira,co COL,MF,FC Dallas,29,30,30,0,2692,90,8,4,0,0,23,3,0,22,0.27,0.40,0.27,0.40,0.74,0.77,0.10
6,Nat Borchers\Nat-Borchers,us USA,DF,Real Salt Lake,27,30,30,0,2679,89,1,0,0,0,26,5,0,6,0.03,0.03,0.03,0.03,0.20,0.87,0.17
7,Omar Gonzalez\Omar-Gonzalez,us USA,DF,LA Galaxy,20,30,30,0,2672,89,1,1,0,0,29,5,0,4,0.03,0.07,0.03,0.07,0.13,0.98,0.17
8,Jordan Harvey\Jordan-Harvey,us USA,DF,Colorado Rapids,25,30,29,1,2613,87,0,1,0,0,26,1,0,3,0.00,0.03,0.00,0.03,0.10,0.90,0.03
9,Geoff Cameron\Geoff-Cameron,us USA,DFMF,Houston Dynamo,23,29,29,0,2610,90,2,4,0,0,28,6,0,8,0.07,0.21,0.07,0.21,0.28,0.97,0.21
10,Bobby Boswell\Bobby-Boswell,us USA,DF,Houston Dynamo,25,29,29,0,2565,88,1,0,0,0,29,7,0,4,0.04,0.04,0.04,0.04,0.14,1.02,0.25
11,Kasey Keller\Kasey-Keller,us USA,GK,Seattle Sounders FC,39,29,29,0,2549,88,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04
12,Chris Leitch\Chris-Leitch,us USA,DF,San Jose Earthquakes,29,29,29,0,2537,88,0,2,0,0,21,3,0,3,0.00,0.07,0.00,0.07,0.11,0.74,0.11
13,Joe Cannon\Joe-Cannon,us USA,GK,San Jose Earthquakes,34,28,28,0,2520,90,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.07
14,Claudio López\Claudio-Lopez,ar ARG,FW,Kansas City Wizards,34,29,28,1,2501,86,7,6,2,2,18,5,1,35,0.25,0.47,0.18,0.40,1.26,0.65,0.22
15,Jim Brennan\Jim-Brennan,ca CAN,DFMF,Toronto FC,31,28,28,0,2478,89,2,1,0,0,22,8,0,5,0.07,0.11,0.07,0.11,0.18,0.80,0.29
16,Omar Cummings\Omar-Cummings,jm JAM,FW,Colorado Rapids,26,28,28,0,2474,88,8,11,0,1,23,3,0,34,0.29,0.69,0.29,0.69,1.24,0.84,0.11
17,Clyde Simms\Clyde-Simms,us USA,MF,D.C. United,26,28,28,0,2457,88,0,0,0,0,23,4,0,5,0.00,0.00,0.00,0.00,0.18,0.84,0.15
18,Jack Jewsbury\Jack-Jewsbury,us USA,MFDF,Kansas City Wizards,27,28,28,0,2451,88,0,4,0,0,34,6,0,13,0.00,0.15,0.00,0.15,0.48,1.25,0.22
19,Dave van den Bergh\Dave-van-den-Bergh,nl NED,MFFW,FC Dallas,32,30,30,0,2446,82,3,10,0,0,13,2,0,14,0.11,0.48,0.11,0.48,0.52,0.48,0.07
20,Dwayne De Rosario\Dwayne-De-Rosario,ca CAN,MFFW,Toronto FC,30,28,27,1,2444,87,11,5,0,1,34,5,0,36,0.41,0.59,0.41,0.59,1.33,1.25,0.18
21,Jeff Larentowicz\Jeff-Larentowicz,us USA,DFMF,New England Revolution,25,28,28,0,2438,87,1,2,0,0,45,4,0,17,0.04,0.11,0.04,0.11,0.63,1.66,0.15
22,Nick LaBrocca\Nick-LaBrocca,us USA,MFDF,Colorado Rapids,24,29,28,1,2434,84,2,0,0,0,28,3,0,17,0.07,0.07,0.07,0.07,0.63,1.04,0.11
23,Chris Wingert\Chris-Wingert,us USA,DF,Real Salt Lake,26,30,27,3,2432,81,0,1,0,0,31,3,0,2,0.00,0.04,0.00,0.04,0.07,1.15,0.11
24,Eddie Gaven\Eddie-Gaven,us USA,GKMF,Columbus Crew,22,30,27,3,2420,81,6,0,1,1,27,3,0,21,0.22,0.22,0.19,0.19,0.78,1.00,0.11
25,Carey Talley\Carey-Talley,us USA,DF,Chivas USA,32,27,27,0,2401,89,0,0,0,0,21,5,1,2,0.00,0.00,0.00,0.00,0.07,0.79,0.22
26,Zach Thornton\Zach-Thornton,us USA,GK,Chivas USA,35,27,27,0,2385,88,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,Sam Cronin\Sam-Cronin,us USA,MF,Toronto FC,22,27,26,1,2363,88,1,2,0,0,12,2,0,2,0.04,0.11,0.04,0.11,0.08,0.46,0.08
28,Josh Wolff\Josh-Wolff,us USA,FW,Kansas City Wizards,31,27,27,0,2348,87,11,0,0,0,29,2,1,30,0.42,0.42,0.42,0.42,1.15,1.11,0.11
29,Jonathan Bornstein\Jonathan-Bornstein,us USA,MFDF,Chivas USA,24,26,26,0,2340,90,0,1,0,0,15,1,0,2,0.00,0.04,0.00,0.04,0.08,0.58,0.04
30,Dax McCarty\Dax-McCarty,us USA,MF,FC Dallas,21,28,27,1,2340,84,3,4,0,0,29,3,0,13,0.12,0.27,0.12,0.27,0.50,1.12,0.12
31,Stuart Holden\Stuart-Holden,us USA,MF,Houston Dynamo,23,26,26,0,2340,90,6,2,2,2,24,1,0,15,0.23,0.31,0.15,0.23,0.58,0.92,0.04
32,Kevin Alston\Kevin-Alston,us USA,DF,New England Revolution,20,26,26,0,2339,90,0,0,0,0,22,2,0,5,0.00,0.00,0.00,0.00,0.19,0.85,0.08
33,Danny O'Rourke\Danny-ORourke,us USA,DF,Columbus Crew,25,26,26,0,2338,90,0,1,0,0,37,6,1,1,0.00,0.04,0.00,0.04,0.04,1.42,0.27
34,Jhon Kennedy Hurtado\Jhon-Kennedy-Hurtado,co COLve VEN,DF,Seattle Sounders FC,24,27,26,1,2334,86,1,1,0,0,33,8,0,2,0.04,0.08,0.04,0.08,0.08,1.27,0.31
35,James Riley\James-Riley,us USA,DF,Seattle Sounders FC,26,28,27,1,2334,83,0,2,0,0,24,4,2,2,0.00,0.08,0.00,0.08,0.08,0.93,0.23
36,Bryan Namoff\Bryan-Namoff,us USA,MFDF,D.C. United,29,26,26,0,2326,90,2,2,0,0,19,3,0,5,0.08,0.15,0.08,0.15,0.19,0.74,0.12
37,Gino Padula\Gino-Padula,ar ARG,DF,Columbus Crew,32,27,27,0,2321,86,1,2,0,0,12,4,1,1,0.04,0.12,0.04,0.12,0.04,0.47,0.19
38,Marco Pappa\Marco-Pappa,gt GUA,MF,Chicago Fire,21,30,28,2,2314,77,5,4,0,0,28,2,0,29,0.19,0.35,0.19,0.35,1.13,1.09,0.08
39,Will Johnson\Will-Johnson,ca CAN,FWMF,Real Salt Lake,22,26,26,0,2305,89,1,1,1,1,26,8,0,22,0.04,0.08,0.00,0.04,0.86,1.02,0.31
40,Gregg Berhalter\Gregg-Berhalter,us USA,DF,LA Galaxy,35,26,26,0,2298,88,0,0,0,0,41,4,2,0,0.00,0.00,0.00,0.00,0.00,1.61,0.23
41,Stefan Frei\Stefan-Frei,ch SUI,GK,Toronto FC,22,26,26,0,2295,88,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04
42,Brad Evans\Brad-Evans,us USA,FWMF,Seattle Sounders FC,23,27,25,2,2294,85,3,1,0,0,24,5,0,8,0.12,0.16,0.12,0.16,0.31,0.94,0.20
43,Brian Carroll\Brian-Carroll,us USA,MF,Columbus Crew,27,26,26,0,2293,88,0,1,0,0,16,5,0,1,0.00,0.04,0.00,0.04,0.04,0.63,0.20
44,Logan Pause\Logan-Pause,us USA,MF,Chicago Fire,27,26,26,0,2287,88,0,2,0,0,13,2,0,1,0.00,0.08,0.00,0.08,0.04,0.51,0.08
45,Nick Rimando\Nick-Rimando,us USA,GK,Real Salt Lake,29,26,26,0,2285,88,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04
46,Nate Jaqua\Nate-Jaqua,us USA,FW,Seattle Sounders FC,27,28,27,1,2278,81,9,6,0,0,47,6,1,16,0.36,0.59,0.36,0.59,0.63,1.86,0.28
47,Donovan Ricketts\Donovan-Ricketts,jm JAM,GK,LA Galaxy,31,26,26,0,2274,88,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04
48,Rodney Wallace\Rodney-Wallace,cr CRC,MFDF,D.C. United,20,28,25,3,2265,81,3,2,0,0,52,8,0,11,0.12,0.20,0.12,0.20,0.44,2.07,0.32
49,Paulo Nagamura\Paulo-Nagamura,br BRA,MF,Chivas USA,25,27,25,2,2263,84,4,1,0,0,31,7,1,11,0.16,0.20,0.16,0.20,0.44,1.23,0.32
50,Ryan Johnson\Ryan-Johnson,jm JAM,FWMF,San Jose Earthquakes,24,30,27,3,2241,75,11,2,1,1,43,3,0,35,0.44,0.52,0.40,0.48,1.41,1.73,0.12
51,Seth Stammler\Seth-Stammler,us USA,MFDF,New York Red Bulls,27,26,25,1,2238,86,0,0,0,0,37,4,0,6,0.00,0.00,0.00,0.00,0.24,1.49,0.16
52,Matt Besler\Matt-Besler,us USA,DF,Kansas City Wizards,21,28,26,2,2236,80,0,0,0,0,19,5,0,1,0.00,0.00,0.00,0.00,0.04,0.76,0.20
53,Adrian Serioux\Adrian-Serioux,ca CAN,DF,Toronto FC,29,26,25,1,2235,86,2,0,0,0,42,6,1,5,0.08,0.08,0.08,0.08,0.20,1.69,0.28
54,Shalrie Joseph\Shalrie-Joseph,gd GRN,MFDF,New England Revolution,30,27,24,3,2228,83,8,6,1,1,28,3,1,12,0.32,0.57,0.28,0.53,0.48,1.13,0.16
55,Kyle Beckerman\Kyle-Beckerman,us USA,MF,Real Salt Lake,26,25,25,0,2218,89,3,0,0,0,42,10,0,17,0.12,0.12,0.12,0.12,0.69,1.70,0.41
56,Fredy Montero\Fredy-Montero,co COL,FW,Seattle Sounders FC,21,27,27,0,2217,82,12,4,0,1,47,5,1,32,0.49,0.65,0.49,0.65,1.30,1.91,0.24
57,Davy Arnaud\Davy-Arnaud,us USA,FWMF,Kansas City Wizards,28,25,25,0,2214,89,5,1,0,0,37,7,0,17,0.20,0.24,0.20,0.24,0.69,1.50,0.28
58,Brad Davis\Brad-Davis,us USA,MF,Houston Dynamo,27,27,26,1,2207,82,5,9,0,1,29,4,2,21,0.20,0.57,0.20,0.57,0.86,1.18,0.24
59,Osvaldo Alonso\Osvaldo-Alonso,cu CUB,MF,Seattle Sounders FC,23,27,26,1,2207,82,1,1,0,0,35,5,0,7,0.04,0.08,0.04,0.08,0.29,1.43,0.20
60,Bobby Convey\Bobby-Convey,us USA,FWMF,San Jose Earthquakes,25,26,25,1,2200,85,1,2,0,0,25,4,0,4,0.04,0.12,0.04,0.12,0.16,1.02,0.16
61,Marc Burch\Marc-Burch,us USA,DF,D.C. United,24,26,25,1,2174,84,1,1,0,0,27,5,0,9,0.04,0.08,0.04,0.08,0.37,1.12,0.21
62,Jay Heaps\Jay-Heaps,us USA,DFMF,New England Revolution,32,25,25,0,2170,87,1,1,0,0,12,5,0,11,0.04,0.08,0.04,0.08,0.46,0.50,0.21
63,Tyrone Marshall\Tyrone-Marshall,jm JAM,DF,Seattle Sounders FC,34,26,25,1,2166,83,2,2,0,0,23,5,2,4,0.08,0.17,0.08,0.17,0.17,0.96,0.29
64,Pablo Mastroeni\Pablo-Mastroeni,us USA,MF,Colorado Rapids,32,25,25,0,2162,87,1,3,0,0,39,5,0,2,0.04,0.17,0.04,0.17,0.08,1.62,0.21
65,Jimmy Conrad\Jimmy-Conrad,us USA,DF,Kansas City Wizards,31,24,24,0,2160,90,1,1,0,0,23,2,0,4,0.04,0.08,0.04,0.08,0.17,0.96,0.08
66,Matt Reis\Matt-Reis,us USA,GK,New England Revolution,33,24,24,0,2160,90,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.08
67,Landon Donovan\Landon-Donovan,us USA,FWMF,LA Galaxy,26,25,23,2,2152,86,12,6,3,3,25,1,0,29,0.50,0.75,0.38,0.63,1.21,1.05,0.04
68,Mehdi Ballouchy\Mehdi-Ballouchy,ma MAR,MF,Colorado Rapids,25,28,23,5,2148,77,2,5,1,1,28,5,0,11,0.08,0.29,0.04,0.25,0.46,1.17,0.21
69,Juan Pablo Ángel\Juan-Pablo-Angel,co COL,FW,New York Red Bulls,33,25,25,0,2133,85,12,1,2,3,22,2,0,37,0.51,0.55,0.42,0.46,1.56,0.93,0.08
70,Todd Dunivant\Todd-Dunivant,us USA,DF,LA Galaxy,28,25,24,1,2131,85,1,1,0,0,16,0,0,5,0.04,0.08,0.04,0.08,0.21,0.68,0.00
