Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Steve Birnbaum\Steve-Birnbaum,us USA,DF,D.C. United,27,34,34,0,3060,90,2,0,0,0,31,4,0,7,0.06,0.06,0.06,0.06,0.21,0.91,0.12
2,Evan Bush\Evan-Bush,us USA,GK,Montreal Impact,31,34,34,0,3060,90,0,0,0,0,1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.03,0.03
3,Ilie Sánchez\Ilie-Sanchez,es ESP,MF,Sporting KC,27,34,34,0,3060,90,4,3,4,6,35,6,0,14,0.12,0.21,0.00,0.09,0.41,1.03,0.18
4,David Bingham\David-Bingham,us USA,GK,LA Galaxy,28,34,34,0,3060,90,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06
5,Graham Zusi\Graham-Zusi,us USA,FWMF,Sporting KC,31,34,34,0,3060,90,2,4,0,0,21,2,0,20,0.06,0.18,0.06,0.18,0.59,0.62,0.06
6,Tim Melia\Tim-Melia,us USA,GK,Sporting KC,31,34,34,0,3060,90,0,0,0,0,3,2,0,0,0.00,0.00,0.00,0.00,0.00,0.09,0.06
7,Auston Trusty\Auston-Trusty,us USA,DF,Philadelphia Union,19,34,34,0,3060,90,1,0,0,0,41,4,0,2,0.03,0.03,0.03,0.03,0.06,1.21,0.12
8,Cristian Roldan\Cristian-Roldan,us USA,MF,Seattle Sounders FC,22,34,34,0,3053,90,4,6,0,0,38,4,0,16,0.12,0.29,0.12,0.29,0.47,1.12,0.12
9,Nick Lima\Nick-Lima,us USA,DF,San Jose Earthquakes,23,34,34,0,3049,90,2,2,0,0,22,2,0,6,0.06,0.12,0.06,0.12,0.18,0.65,0.06
10,Samuel Piette\Samuel-Piette,ca CAN,MF,Montreal Impact,23,34,34,0,3000,88,0,3,0,0,42,5,0,2,0.00,0.09,0.00,0.09,0.06,1.26,0.15
11,Stefan Frei\Stefan-Frei,ch SUI,GK,Seattle Sounders FC,31,33,33,0,2970,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
12,Tyler Miller\Tyler-Miller,us USA,GK,Los Angeles FC,24,33,33,0,2970,90,0,0,0,0,1,3,0,0,0.00,0.00,0.00,0.00,0.00,0.03,0.09
13,Andre Blake\Andre-Blake,jm JAM,GK,Philadelphia Union,27,33,33,0,2970,90,0,0,0,0,1,2,0,0,0.00,0.00,0.00,0.00,0.00,0.03,0.06
14,Tommy Smith\Tommy-Smith,nz NZL,DF,Colorado Rapids,27,33,33,0,2969,90,4,3,0,0,34,6,1,12,0.12,0.21,0.12,0.21,0.36,1.03,0.21
15,Gyasi Zardes\Gyasi-Zardes,us USA,MFFW,Columbus Crew,26,33,33,0,2948,89,19,0,3,4,26,3,0,39,0.58,0.58,0.49,0.49,1.19,0.79,0.09
16,Julian Gressel\Julian-Gressel,de GER,MF,Atlanta United,24,33,33,0,2946,89,4,12,0,0,36,3,0,21,0.12,0.49,0.12,0.49,0.64,1.10,0.09
17,Matt Hedges\Matt-Hedges,us USA,DF,FC Dallas,27,33,33,0,2925,89,2,0,0,0,30,8,0,7,0.06,0.06,0.06,0.06,0.22,0.92,0.25
18,Nick Rimando\Nick-Rimando,us USA,GK,Real Salt Lake,38,33,33,0,2925,89,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00
19,Reggie Cannon\Reggie-Cannon,us USA,DF,FC Dallas,19,33,33,0,2922,89,1,2,0,0,21,4,0,4,0.03,0.09,0.03,0.09,0.12,0.65,0.12
20,Brad Guzan\Brad-Guzan,us USA,GK,Atlanta United,33,33,33,0,2913,88,0,0,0,0,3,3,1,0,0.00,0.00,0.00,0.00,0.00,0.09,0.12
21,Justen Glad\Justen-Glad,us USA,DF,Real Salt Lake,20,33,33,0,2911,88,0,0,0,0,33,6,0,5,0.00,0.00,0.00,0.00,0.15,1.02,0.19
22,Michael Parkhurst\Michael-Parkhurst,us USA,DF,Atlanta United,34,33,32,1,2903,88,0,0,0,0,17,6,0,1,0.00,0.00,0.00,0.00,0.03,0.53,0.19
23,Josef Martínez\Josef-Martinez,ve VEN,FW,Atlanta United,24,34,34,0,2900,85,31,5,8,9,25,1,0,56,0.96,1.12,0.71,0.87,1.74,0.78,0.03
24,Tim Howard\Tim-Howard,us USA,GK,Colorado Rapids,38,33,33,0,2899,88,0,0,0,0,1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.03,0.06
25,Michael Boxall\Michael-Boxall,nz NZL,DF,Minnesota United,29,32,32,0,2880,90,2,0,0,0,26,7,0,4,0.06,0.06,0.06,0.06,0.12,0.81,0.22
26,Sean Johnson\Sean-Johnson,us USA,GK,New York City FC,28,32,32,0,2880,90,0,0,0,0,2,3,0,0,0.00,0.00,0.00,0.00,0.00,0.06,0.09
27,Harrison Afful\Harrison-Afful,gh GHA,DFMF,Columbus Crew,31,32,32,0,2865,90,2,3,0,0,17,1,0,13,0.06,0.16,0.06,0.16,0.41,0.53,0.03
28,Michael Bradley\Michael-Bradley,us USA,MF,Toronto FC,30,32,32,0,2857,89,0,2,0,0,26,6,0,3,0.00,0.06,0.00,0.06,0.09,0.82,0.19
29,Jefferson Savarino\Jefferson-Savarino,ve VEN,MFFW,Real Salt Lake,21,32,32,0,2855,89,7,9,0,0,27,2,0,32,0.22,0.50,0.22,0.50,1.01,0.85,0.06
30,Saphir Taïder\Saphir-Taider,dz ALG,MF,Montreal Impact,25,33,33,0,2853,87,7,5,1,1,36,3,1,25,0.22,0.38,0.19,0.35,0.79,1.14,0.13
31,Brooks Lennon\Brooks-Lennon,us USA,MF,Real Salt Lake,20,33,32,1,2850,86,0,4,0,0,24,7,0,4,0.00,0.13,0.00,0.13,0.13,0.76,0.22
32,Brandon Vincent\Brandon-Vincent,us USA,DF,Chicago Fire,23,32,31,1,2827,88,1,3,0,0,50,3,0,4,0.03,0.13,0.03,0.13,0.13,1.59,0.10
33,Roger Espinoza\Roger-Espinoza,hn HON,DFMF,Sporting KC,31,32,32,0,2826,88,3,6,0,0,65,8,0,11,0.10,0.29,0.10,0.29,0.35,2.07,0.25
34,Ignacio Piatti\Ignacio-Piatti,ar ARG,FWMF,Montreal Impact,32,32,32,0,2822,88,16,11,4,4,41,2,0,33,0.51,0.86,0.38,0.73,1.05,1.31,0.06
35,Maximiliano Moralez\Maximiliano-Moralez,ar ARG,MF,New York City FC,30,32,32,0,2820,88,8,9,1,1,46,4,0,27,0.26,0.54,0.22,0.51,0.86,1.47,0.13
36,Cristian Penilla\Cristian-Penilla,ec ECU,MFFW,New England Revolution,26,33,33,0,2815,85,12,7,1,1,40,2,1,40,0.38,0.61,0.35,0.58,1.28,1.28,0.10
37,Aaron Long\Aaron-Long,us USA,DF,New York Red Bulls,25,34,31,3,2806,83,3,1,0,0,26,1,0,11,0.10,0.13,0.10,0.13,0.35,0.83,0.03
38,Benny Feilhaber\Benny-Feilhaber,us USA,MF,Los Angeles FC,33,34,32,2,2803,82,3,2,0,0,44,5,0,11,0.10,0.16,0.10,0.16,0.35,1.41,0.16
39,Luis Robles\Luis-Robles,us USA,GK,New York Red Bulls,33,31,31,0,2790,90,0,0,0,0,1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.03,0.03
40,Damir Kreilach\Damir-Kreilach,hr CRO,MF,Real Salt Lake,28,33,31,2,2785,84,12,4,0,0,37,5,0,25,0.39,0.52,0.39,0.52,0.81,1.20,0.16
41,Artur\Artur,br BRA,MF,Columbus Crew,21,32,32,0,2785,87,0,1,0,0,49,5,0,9,0.00,0.03,0.00,0.03,0.29,1.58,0.16
42,Alejandro Bedoya\Alejandro-Bedoya,us USA,FWMF,Philadelphia Union,30,33,31,2,2777,84,3,5,0,0,41,6,0,14,0.10,0.26,0.10,0.26,0.45,1.33,0.19
43,Leandro González Pirez\Leandro-Gonzalez-Pirez,ar ARG,DF,Atlanta United,25,32,32,0,2774,87,1,1,0,0,49,8,0,6,0.03,0.06,0.03,0.06,0.19,1.59,0.26
44,Ike Opara\Ike-Opara,us USA,DF,Sporting KC,28,31,31,0,2773,90,3,2,0,0,31,6,0,6,0.10,0.16,0.10,0.16,0.19,1.01,0.19
45,Keegan Rosenberry\Keegan-Rosenberry,us USA,DF,Philadelphia Union,24,32,31,1,2773,87,1,3,0,0,29,3,0,10,0.03,0.13,0.03,0.13,0.32,0.94,0.10
46,Jeff Larentowicz\Jeff-Larentowicz,us USA,MFDF,Atlanta United,34,34,33,1,2772,82,1,2,0,0,37,6,0,4,0.03,0.10,0.03,0.10,0.13,1.20,0.19
47,Miguel Almirón\Miguel-Almiron,py PAR,MF,Atlanta United,23,32,32,0,2763,86,12,11,4,5,35,4,0,51,0.39,0.75,0.26,0.62,1.66,1.14,0.13
48,Luciano Acosta\Luciano-Acosta,ar ARG,MFFW,D.C. United,23,33,32,1,2755,84,10,15,0,0,62,3,0,23,0.33,0.82,0.33,0.82,0.75,2.03,0.10
49,Diego Valeri\Diego-Valeri,ar ARG,MF,Portland Timbers,31,32,31,1,2752,86,10,11,4,5,30,4,0,29,0.33,0.69,0.20,0.56,0.95,0.98,0.13
50,Jack Price\Jack-Price,eng ENG,MF,Colorado Rapids,25,31,31,0,2750,89,1,2,0,1,30,9,0,8,0.03,0.10,0.03,0.10,0.26,0.98,0.29
