Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
48,Mamadou Diallo\Mamadou-Diallo,sn SEN,FW,Tampa Bay Mutiny,28,28,26,2,2405,86,26,1,1,3,74,9,0,76,0.97,1.01,0.94,0.97,2.84,2.77,0.34
49,Piotr Nowak\Piotr-Nowak,pl POL,FWMF,Chicago Fire,35,28,28,0,2402,86,5,7,0,0,41,7,1,17,0.19,0.45,0.19,0.45,0.64,1.54,0.30
50,Carlos Bocanegra\Carlos-Bocanegra,us USA,DF,Chicago Fire,20,27,27,0,2402,89,1,0,0,0,51,5,0,2,0.04,0.04,0.04,0.04,0.07,1.91,0.19
51,Jason Moore\Jason-Moore,us USA,MF,Colorado Rapids,21,27,27,0,2385,88,0,3,0,0,53,5,0,6,0.00,0.11,0.00,0.11,0.23,2.00,0.19
52,Jimmy Conrad\Jimmy-Conrad,us USA,DF,San Jose Earthquakes,22,26,25,1,2377,91,0,1,0,0,56,6,1,2,0.00,0.04,0.00,0.04,0.08,2.12,0.27
53,Abdul Thompson Conteh\Abdul-Thompson-Conteh,sl SLE,FW,San Jose Earthquakes,29,31,27,4,2356,76,8,2,0,0,49,2,0,41,0.31,0.38,0.31,0.38,1.57,1.87,0.08
54,Óscar Pareja\Oscar-Pareja,co COL,MF,Dallas Burn,31,29,27,2,2354,81,3,5,0,0,58,6,0,15,0.11,0.31,0.11,0.31,0.57,2.22,0.23
55,Petter Villegas\Petter-Villegas,pr PUR,MFFW,MetroStars,24,29,27,2,2341,81,5,3,0,0,57,5,0,19,0.19,0.31,0.19,0.31,0.73,2.19,0.19
56,Zach Thornton\Zach-Thornton,us USA,GK,Chicago Fire,26,25,25,0,2319,93,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04
57,Adolfo Valencia\Adolfo-Valencia,co COL,FW,MetroStars,31,31,25,6,2295,74,16,8,4,4,54,3,1,32,0.63,0.94,0.47,0.78,1.25,2.12,0.16
