Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Peter Vermes\Peter-Vermes,us USA,DFFW,Colorado Rapids,32,32,32,0,2880,90,0,1,0,0,29,5,0,0,0.00,0.03,0.00,0.03,0.00,0.91,0.16
2,Steve Ralston\Steve-Ralston,us USA,MF,Tampa Bay Mutiny,24,32,32,0,2872,90,5,12,0,0,20,0,0,17,0.16,0.53,0.16,0.53,0.53,0.63,0.00
3,Kevin Hartman\Kevin-Hartman,us USA,GK,LA Galaxy,24,32,32,0,2870,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
4,Jason Kreis\Jason-Kreis,us USA,FWMF,Dallas Burn,26,32,32,0,2815,88,18,8,1,2,49,5,0,57,0.58,0.83,0.54,0.80,1.82,1.57,0.16
5,Wade Barrett\Wade-Barrett,us USA,DF,San Jose Clash,22,31,31,0,2790,90,1,2,0,0,60,5,0,6,0.03,0.10,0.03,0.10,0.19,1.94,0.16
6,Greg Vanney\Greg-Vanney,us USA,DF,LA Galaxy,24,31,31,0,2790,90,1,6,1,1,39,3,0,9,0.03,0.23,0.00,0.19,0.29,1.26,0.10
7,Brandon Pollard\Brandon-Pollard,us USA,DF,Dallas Burn,25,31,31,0,2790,90,0,1,0,0,40,5,0,0,0.00,0.03,0.00,0.03,0.00,1.29,0.16
8,David Vaudreuil\David-Vaudreuil,us USA,DFMF,Colorado Rapids,32,31,31,0,2774,90,0,1,0,0,37,2,0,6,0.00,0.03,0.00,0.03,0.19,1.20,0.06
9,Mark Dougherty\Mark-Dougherty,us USA,GK,Columbus Crew,31,31,31,0,2745,89,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.07
10,Ronald Cerritos\Ronald-Cerritos,sv SLV,FW,San Jose Clash,24,31,30,1,2721,88,15,7,1,1,23,2,0,45,0.50,0.73,0.46,0.69,1.49,0.76,0.07
11,Ted Chronopoulos\Ted-Chronopoulos,us USA,MFDF,New England Revolution,26,31,31,0,2710,87,1,5,0,0,33,4,0,14,0.03,0.20,0.03,0.20,0.46,1.10,0.13
12,Alexi Lalas\Alexi-Lalas,us USA,DF,Kansas City Wizards,28,30,30,0,2700,90,4,0,0,0,40,8,0,16,0.13,0.13,0.13,0.13,0.53,1.33,0.27
13,Mike Lapper\Mike-Lapper,us USA,DF,Columbus Crew,28,31,30,1,2700,87,1,1,0,0,42,6,0,6,0.03,0.07,0.03,0.07,0.20,1.40,0.20
14,Billy Walsh\Billy-Walsh,us USA,MF,MetroStars,23,30,30,0,2675,89,4,0,0,0,33,2,1,15,0.13,0.13,0.13,0.13,0.50,1.11,0.10
15,Ramiro Corrales\Ramiro-Corrales,us USA,DFMF,MetroStars,21,31,31,0,2659,86,0,1,0,0,28,4,1,5,0.00,0.03,0.00,0.03,0.17,0.95,0.17
16,Chad McCarty\Chad-McCarty,us USA,MF,Tampa Bay Mutiny,21,30,30,0,2640,88,2,1,0,0,37,8,0,5,0.07,0.10,0.07,0.10,0.17,1.26,0.27
17,Zach Thornton\Zach-Thornton,us USA,GK,Chicago Fire,25,30,30,0,2633,88,0,0,0,0,0,3,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.14
18,Roy Lassiter\Roy-Lassiter,us USA,FWMF,D.C. United,29,30,29,1,2626,88,18,4,1,2,25,5,1,47,0.62,0.75,0.58,0.72,1.61,0.86,0.21
19,Chris Henderson\Chris-Henderson,us USA,MF,Kansas City Wizards,28,30,29,1,2625,88,3,4,0,0,40,4,0,22,0.10,0.24,0.10,0.24,0.75,1.37,0.14
20,Mauricio Cienfuegos\Mauricio-Cienfuegos,sv SLV,MF,LA Galaxy,30,30,29,1,2621,87,3,9,0,2,29,4,0,17,0.10,0.41,0.10,0.41,0.58,1.00,0.14
21,Leo Cullen\Leo-Cullen,us USA,DF,Miami Fusion,22,30,30,0,2619,87,0,0,0,0,18,1,1,0,0.00,0.00,0.00,0.00,0.00,0.62,0.07
22,Joe-Max Moore\Joe-Max-Moore,us USA,FW,New England Revolution,27,29,29,0,2610,90,15,6,1,1,49,1,0,47,0.52,0.72,0.48,0.69,1.62,1.69,0.03
23,Jeff Agoos\Jeff-Agoos,us USA,DF,D.C. United,30,30,29,1,2610,87,2,1,0,0,27,5,0,11,0.07,0.10,0.07,0.10,0.38,0.93,0.17
24,Richard Farrer\Richard-Farrer,za RSA,DFFW,Dallas Burn,27,30,29,1,2608,87,2,0,0,0,14,1,1,4,0.07,0.07,0.07,0.07,0.14,0.48,0.07
25,Matt Jordan\Matt-Jordan,us USA,GK,Dallas Burn,23,29,29,0,2584,89,0,0,0,0,0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.07
26,Preki\Preki,us USA,FWMF,Kansas City Wizards,35,30,28,2,2572,86,7,7,1,2,24,3,0,31,0.24,0.49,0.21,0.45,1.08,0.84,0.10
