Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Pat Onstad\Pat-Onstad,ca CAN,GK,Houston Dynamo,38,32,32,0,2880,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Matt Reis\Matt-Reis,us USA,GK,New England Revolution,30,32,32,0,2880,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Jonathan Bornstein\Jonathan-Bornstein,us USA,DFMF,Chivas USA,21,32,32,0,2878,90,6,2,0,0,28,2,0,21,0.19,0.25,0.19,0.25,0.66,0.88,0.06
4,Taylor Twellman\Taylor-Twellman,us USA,FW,New England Revolution,25,32,32,0,2856,89,11,2,0,0,40,3,0,42,0.35,0.41,0.35,0.41,1.32,1.26,0.09
5,Chris Klein\Chris-Klein,us USA,MFDF,Real Salt Lake,30,32,32,0,2842,89,7,6,0,0,18,0,0,27,0.22,0.41,0.22,0.41,0.86,0.57,0.00
6,Andy Dorman\Andy-Dorman,wal WAL,MF,New England Revolution,23,32,32,0,2834,89,6,7,0,0,41,5,0,33,0.19,0.41,0.19,0.41,1.05,1.30,0.16
7,Kyle Beckerman\Kyle-Beckerman,us USA,MF,Colorado Rapids,23,31,31,0,2790,90,7,1,1,1,41,8,0,27,0.23,0.26,0.19,0.23,0.87,1.32,0.26
8,Jay Heaps\Jay-Heaps,us USA,DFMF,New England Revolution,29,31,31,0,2790,90,0,2,0,0,33,7,0,2,0.00,0.06,0.00,0.06,0.06,1.06,0.23
9,Davy Arnaud\Davy-Arnaud,us USA,FWMF,Kansas City Wizards,25,32,30,2,2785,87,4,4,0,0,37,6,0,24,0.13,0.26,0.13,0.26,0.78,1.20,0.19
10,Brian Carroll\Brian-Carroll,us USA,MF,D.C. United,24,31,31,0,2779,90,1,1,0,0,44,6,0,4,0.03,0.06,0.03,0.06,0.13,1.42,0.19
11,Jeff Parke\Jeff-Parke,us USA,DF,New York Red Bulls,23,31,31,0,2771,89,0,0,0,0,27,5,0,2,0.00,0.00,0.00,0.00,0.06,0.88,0.16
12,Wade Barrett\Wade-Barrett,us USA,DF,Houston Dynamo,29,31,31,0,2756,89,0,1,0,0,25,1,1,5,0.00,0.03,0.00,0.03,0.16,0.82,0.07
13,Carlos Mendes\Carlos-Mendes,us USA,DF,New York Red Bulls,25,31,31,0,2751,89,0,0,0,0,35,6,0,0,0.00,0.00,0.00,0.00,0.00,1.15,0.20
14,Scott Garlick\Scott-Garlick,us USA,GK,Real Salt Lake,33,31,31,0,2745,89,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Brian Mullan\Brian-Mullan,us USA,MF,Houston Dynamo,27,31,31,0,2744,89,2,4,0,0,60,6,1,10,0.07,0.20,0.07,0.20,0.33,1.97,0.23
16,Ricardo Clark\Ricardo-Clark,us USA,MF,Houston Dynamo,22,31,31,0,2728,88,2,2,0,0,57,4,1,14,0.07,0.13,0.07,0.13,0.46,1.88,0.16
17,Sasha Victorine\Sasha-Victorine,us USA,FWMF,Kansas City Wizards,27,31,30,1,2701,87,3,7,1,1,40,3,0,9,0.10,0.33,0.07,0.30,0.30,1.33,0.10
18,Michael Parkhurst\Michael-Parkhurst,us USA,DF,New England Revolution,22,30,30,0,2700,90,0,0,0,0,12,1,0,0,0.00,0.00,0.00,0.00,0.00,0.40,0.03
19,Jaime Moreno\Jaime-Moreno,bo BOL,FW,D.C. United,32,32,31,1,2700,84,11,6,3,3,37,3,0,31,0.37,0.57,0.27,0.47,1.03,1.23,0.10
20,Bobby Boswell\Bobby-Boswell,us USA,DF,D.C. United,22,30,30,0,2700,90,1,1,0,0,32,8,0,4,0.03,0.07,0.03,0.07,0.13,1.07,0.27
21,Troy Perkins\Troy-Perkins,us USA,GK,D.C. United,24,30,30,0,2700,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,Steve Ralston\Steve-Ralston,us USA,MF,New England Revolution,31,30,30,0,2683,89,6,4,1,1,22,0,0,14,0.20,0.34,0.17,0.30,0.47,0.74,0.00
23,Sacha Kljestan\Sacha-Kljestan,us USA,MF,Chivas USA,20,32,31,1,2676,84,0,5,0,0,50,5,0,8,0.00,0.17,0.00,0.17,0.27,1.68,0.17
24,Francisco Mendoza\Francisco-Mendoza,mx MEX,MF,Chivas USA,20,31,31,0,2652,86,3,4,0,0,38,6,0,22,0.10,0.24,0.10,0.24,0.75,1.29,0.20
25,Facundo Erpen\Facundo-Erpen,ar ARG,DF,D.C. United,22,30,30,0,2626,88,3,1,0,0,44,2,1,9,0.10,0.14,0.10,0.14,0.31,1.51,0.10
26,Alejandro Moreno\Alejandro-Moreno,ve VEN,FW,Houston Dynamo,26,30,30,0,2620,87,3,4,0,0,49,2,1,21,0.10,0.24,0.10,0.24,0.72,1.68,0.10
27,Tim Regan\Tim-Regan,us USA,DF,Chivas USA,24,30,30,0,2618,87,0,0,0,0,28,5,1,2,0.00,0.00,0.00,0.00,0.07,0.96,0.21
