Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Jeff Larentowicz\Jeff-Larentowicz,us USA,DFMF,Colorado Rapids,27,34,34,0,3060,90,7,1,0,1,45,4,0,18,0.21,0.24,0.21,0.24,0.53,1.32,0.12
2,Kasey Keller\Kasey-Keller,us USA,GK,Seattle Sounders FC,41,34,34,0,3060,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Nick LaBrocca\Nick-LaBrocca,us USA,DFMF,Chivas USA,26,34,34,0,3060,90,8,5,0,0,29,4,0,25,0.24,0.38,0.24,0.38,0.74,0.85,0.12
4,Matt Pickens\Matt-Pickens,us USA,GK,Colorado Rapids,28,34,34,0,3060,90,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06
5,Tally Hall\Tally-Hall,us USA,GK,Houston Dynamo,25,34,34,0,3060,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
6,Sébastien Le Toux\Sebastien-Le-Toux,fr FRA,FWMF,Philadelphia Union,27,34,34,0,3060,90,11,7,4,4,36,0,0,30,0.32,0.53,0.21,0.41,0.88,1.06,0.00
7,Sebastián Miranda\Sebastian-Miranda,cl CHI,DF,Columbus Crew,30,34,34,0,3047,90,0,3,0,0,17,5,0,2,0.00,0.09,0.00,0.09,0.06,0.50,0.15
8,Joel Lindpere\Joel-Lindpere,ee EST,MF,New York Red Bulls,29,34,34,0,3045,90,7,6,0,0,45,4,0,22,0.21,0.38,0.21,0.38,0.65,1.33,0.12
9,Kosuke Kimura\Kosuke-Kimura,jp JPN,DF,Colorado Rapids,26,34,34,0,2990,88,1,0,0,0,16,0,0,6,0.03,0.03,0.03,0.03,0.18,0.48,0.00
10,Jon Busch\Jon-Busch,us USA,GK,San Jose Earthquakes,34,33,33,0,2970,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
