Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Nick Rimando\Nick-Rimando,us USA,GK,D.C. United,22,28,28,0,2588,92,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
2,Jesse Marsch\Jesse-Marsch,us USA,MF,Chicago Fire,28,28,28,0,2557,91,1,2,0,0,57,4,0,6,0.04,0.11,0.04,0.11,0.21,2.01,0.14
3,Wade Barrett\Wade-Barrett,us USA,DF,San Jose Earthquakes,25,28,28,0,2555,91,1,2,0,0,24,4,0,5,0.04,0.11,0.04,0.11,0.18,0.85,0.14
4,Matt Jordan\Matt-Jordan,us USA,GK,Dallas Burn,26,27,27,0,2511,93,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Nick Garcia\Nick-Garcia,us USA,DF,Kansas City Wizards,22,27,27,0,2499,93,0,0,0,0,23,5,1,0,0.00,0.00,0.00,0.00,0.00,0.83,0.22
6,Kerry Zavagnin\Kerry-Zavagnin,us USA,MF,Kansas City Wizards,27,27,27,0,2484,92,1,0,0,0,32,4,1,5,0.04,0.04,0.04,0.04,0.18,1.16,0.18
7,Zach Thornton\Zach-Thornton,us USA,GK,Chicago Fire,28,27,27,0,2483,92,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Carlos Valderrama\Carlos-Valderrama,co COL,MF,Colorado Rapids,40,27,27,0,2479,92,1,7,0,0,11,0,1,8,0.04,0.29,0.04,0.29,0.29,0.40,0.04
9,Tim Howard\Tim-Howard,us USA,GK,MetroStars,22,27,27,0,2463,91,0,0,0,0,0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.07
10,Steve Ralston\Steve-Ralston,us USA,MF,New England Revolution,27,27,27,0,2460,91,5,12,0,0,15,6,0,13,0.18,0.62,0.18,0.62,0.48,0.55,0.22
11,Robin Fraser\Robin-Fraser,us USA,DF,Colorado Rapids,35,28,27,1,2453,88,0,0,0,0,38,5,0,0,0.00,0.00,0.00,0.00,0.00,1.39,0.18
12,Leo Cullen\Leo-Cullen,us USA,DF,New England Revolution,25,28,27,1,2444,87,2,1,0,0,24,1,0,6,0.07,0.11,0.07,0.11,0.22,0.88,0.04
13,Brian Dunseth\Brian-Dunseth,us USA,DF,Columbus Crew,24,27,26,1,2436,90,0,0,0,0,31,5,0,4,0.00,0.00,0.00,0.00,0.15,1.15,0.18
14,Taylor Twellman\Taylor-Twellman,us USA,FW,New England Revolution,21,28,26,2,2418,86,23,3,3,3,55,2,0,58,0.86,0.97,0.74,0.86,2.16,2.05,0.07
15,Chris Henderson\Chris-Henderson,us USA,MF,Colorado Rapids,31,28,28,0,2414,86,11,4,1,1,44,3,0,28,0.41,0.56,0.37,0.52,1.04,1.64,0.11
16,Mark Chung\Mark-Chung,us USA,MF,Colorado Rapids,31,27,27,0,2401,89,11,7,2,2,30,0,0,33,0.41,0.67,0.34,0.60,1.24,1.12,0.00
17,Mike Petke\Mike-Petke,us USA,DF,MetroStars,26,27,27,0,2398,89,0,0,0,0,41,6,1,2,0.00,0.00,0.00,0.00,0.08,1.54,0.26
18,Jay Heaps\Jay-Heaps,us USA,DFMF,New England Revolution,25,27,26,1,2389,89,2,2,0,0,46,7,0,13,0.08,0.15,0.08,0.15,0.49,1.73,0.26
19,Brandon Prideaux\Brandon-Prideaux,us USA,DF,D.C. United,25,27,26,1,2389,89,0,0,0,0,36,6,0,1,0.00,0.00,0.00,0.00,0.04,1.36,0.23
20,Carlos Ruíz\Carlos-Ruiz,gt GUA,FW,LA Galaxy,22,26,26,0,2376,91,24,1,3,4,71,9,0,56,0.91,0.95,0.80,0.83,2.12,2.69,0.34
21,Joe Cannon\Joe-Cannon,us USA,GK,San Jose Earthquakes,27,26,26,0,2375,91,0,0,0,0,0,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.11
22,Tenywa Bonseu\Tenywa-Bonseu,ug UGA,DF,Dallas Burn,25,27,27,0,2370,88,0,0,0,0,29,4,0,2,0.00,0.00,0.00,0.00,0.08,1.10,0.15
23,Alexi Lalas\Alexi-Lalas,us USA,DF,LA Galaxy,31,26,26,0,2364,91,4,0,0,0,56,6,0,16,0.15,0.15,0.15,0.15,0.61,2.13,0.23
24,Ramiro Corrales\Ramiro-Corrales,us USA,DFMF,San Jose Earthquakes,24,28,26,2,2354,84,3,6,0,0,59,6,0,16,0.11,0.34,0.11,0.34,0.61,2.26,0.23
25,Ronnie Ekelund\Ronnie-Ekelund,dk DEN,MFFW,San Jose Earthquakes,29,27,27,0,2347,87,6,4,2,3,45,2,1,20,0.23,0.38,0.15,0.31,0.77,1.73,0.12
26,Simon Elliott\Simon-Elliott,nz NZL,MF,LA Galaxy,27,26,26,0,2347,90,1,6,0,0,26,4,0,11,0.04,0.27,0.04,0.27,0.42,1.00,0.15
27,Steve Jolley\Steve-Jolley,us USA,DF,MetroStars,26,27,26,1,2327,86,1,1,0,0,35,4,0,3,0.04,0.08,0.04,0.08,0.12,1.35,0.15
