Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Raúl Díaz Arce\Raul-Diaz-Arce,sv SLV,FW,New England Revolution,27,32,32,0,2878,90,18,6,3,4,57,2,0,51,0.56,0.75,0.47,0.66,1.59,1.78,0.06
2,Eddie Lewis\Eddie-Lewis,us USA,MF,San Jose Clash,23,32,32,0,2835,89,3,3,0,0,29,3,0,23,0.10,0.19,0.10,0.19,0.73,0.92,0.10
3,Chris Armas\Chris-Armas,pr PURus USA,MF,Chicago Fire,25,31,31,0,2790,90,1,4,0,0,51,3,0,10,0.03,0.16,0.03,0.16,0.32,1.65,0.10
4,Tony Meola\Tony-Meola,us USA,GK,MetroStars,28,31,31,0,2790,90,0,0,0,0,0,4,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.13
5,Luboš Kubík\Lubos-Kubik,cs TCHcz CZE,DFMF,Chicago Fire,34,31,31,0,2790,90,7,5,4,4,28,4,0,24,0.23,0.39,0.10,0.26,0.77,0.90,0.13
6,Frank Yallop\Frank-Yallop,ca CAN,DF,Tampa Bay Mutiny,33,32,29,3,2703,85,1,1,0,0,26,3,0,3,0.03,0.07,0.03,0.07,0.10,0.87,0.10
7,Ronald Cerritos\Ronald-Cerritos,sv SLV,FW,San Jose Clash,23,31,30,1,2702,87,13,9,1,2,14,4,0,50,0.43,0.73,0.40,0.70,1.67,0.47,0.13
8,Steve Trittschuh\Steve-Trittschuh,us USA,DF,Colorado Rapids,32,30,30,0,2700,90,1,0,0,0,43,10,0,9,0.03,0.03,0.03,0.03,0.30,1.43,0.33
9,Leo Cullen\Leo-Cullen,us USA,DF,Miami Fusion,21,31,30,1,2680,87,1,2,0,0,11,1,0,4,0.03,0.10,0.03,0.10,0.13,0.37,0.03
10,Peter Vermes\Peter-Vermes,us USA,DFFW,Colorado Rapids,31,31,31,0,2675,86,2,3,0,1,32,3,1,3,0.07,0.17,0.07,0.17,0.10,1.08,0.13
11,Richie Williams\Richie-Williams,us USA,MF,D.C. United,27,31,30,1,2672,86,3,2,0,0,66,5,0,10,0.10,0.17,0.10,0.17,0.34,2.22,0.17
12,Mauricio Cienfuegos\Mauricio-Cienfuegos,sv SLV,MF,LA Galaxy,29,30,30,0,2640,88,13,8,4,5,34,3,0,25,0.44,0.72,0.31,0.58,0.85,1.16,0.10
13,Jaime Moreno\Jaime-Moreno,bo BOL,FW,D.C. United,24,31,31,0,2610,84,16,8,3,5,42,2,1,48,0.55,0.83,0.45,0.72,1.66,1.45,0.10
