Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Bill Hamid\Bill-Hamid,us USA,GK,D.C. United,28,2,2,0,180,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Kendall Waston\Kendall-Waston,cr CRC,DF,FC Cincinnati,31,2,2,0,180,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Jack Elliott\Jack-Elliott,eng ENG,DF,Philadelphia Union,23,2,2,0,180,90,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.50,0.00
4,Kamal Miller\Kamal-Miller,ca CAN,DF,Orlando City,21,2,2,0,180,90,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.50,0.00
5,Gyasi Zardes\Gyasi-Zardes,us USA,MFFW,Columbus Crew,27,2,2,0,180,90,2,0,0,0,2,0,0,3,1.00,1.00,1.00,1.00,1.50,1.00,0.00
6,Albert Rusnák\Albert-Rusnak,sk SVK,MF,Real Salt Lake,24,2,2,0,180,90,2,0,1,1,2,0,0,4,1.00,1.00,0.50,0.50,2.00,1.00,0.00
7,Darwin Quintero\Darwin-Quintero,co COL,FWMF,Minnesota United,31,2,2,0,180,90,2,3,2,2,5,0,0,3,1.00,2.50,0.00,1.50,1.50,2.50,0.00
8,Romain Métanire\Romain-Metanire,fr FRA,DF,Minnesota United,28,2,2,0,180,90,0,0,0,0,4,0,0,0,0.00,0.00,0.00,0.00,0.00,2.00,0.00
9,Anton Tinnerholm\Anton-Tinnerholm,se SWE,DF,New York City FC,27,2,2,0,180,90,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.50,0.00
10,Carles Gil\Carles-Gil,es ESP,FWMF,New England Revolution,26,2,2,0,180,90,1,0,0,0,1,0,0,2,0.50,0.50,0.50,0.50,1.00,0.50,0.00
11,Zakaria Diallo\Zakaria-Diallo,fr FRAsn SEN,DF,Montreal Impact,32,2,2,0,180,90,0,1,0,0,1,0,0,0,0.00,0.50,0.00,0.50,0.00,0.50,0.00
12,Marcelo dos Santos Ferreira\Marcelo-dos-Santos-Ferreira,br BRA,DF,Chicago Fire,29,2,2,0,180,90,0,0,0,0,3,1,0,0,0.00,0.00,0.00,0.00,0.00,1.50,0.50
13,Daniel Steres\Daniel-Steres,us USA,DFMF,LA Galaxy,28,2,2,0,180,90,1,0,0,0,2,1,0,2,0.50,0.50,0.50,0.50,1.00,1.00,0.50
14,Paul Arriola\Paul-Arriola,us USA,MFFW,D.C. United,23,2,2,0,180,90,1,0,0,0,3,0,0,2,0.50,0.50,0.50,0.50,1.00,1.50,0.00
15,Stefan Frei\Stefan-Frei,ch SUI,GK,Seattle Sounders FC,32,2,2,0,180,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Jesse Gonzalez\Jesse-Gonzalez,mx MEX,GK,FC Dallas,23,2,2,0,180,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Walker Zimmerman\Walker-Zimmerman,us USA,DF,Los Angeles FC,25,2,2,0,180,90,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.50,0.00
18,Doneil Henry\Doneil-Henry,ca CAN,DF,Vancouver Whitecaps FC,25,2,2,0,180,90,1,0,0,0,1,0,0,2,0.50,0.50,0.50,0.50,1.00,0.50,0.00
19,Víctor Cabrera\Victor-Cabrera,ar ARG,DF,Montreal Impact,25,2,2,0,180,90,0,0,0,0,1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.50,0.50
20,Steve Birnbaum\Steve-Birnbaum,us USA,DF,D.C. United,28,2,2,0,180,90,0,0,0,0,2,0,0,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00
