Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Drew Moor\Drew-Moor,us USA,DF,Colorado Rapids,26,30,30,0,2700,90,1,0,0,0,15,2,0,7,0.03,0.03,0.03,0.03,0.23,0.50,0.07
2,Tim Ream\Tim-Ream,us USA,DF,New York Red Bulls,22,30,30,0,2700,90,1,0,0,0,13,2,0,4,0.03,0.03,0.03,0.03,0.13,0.43,0.07
3,David Ferreira\David-Ferreira,co COL,MF,FC Dallas,30,30,30,0,2699,90,8,8,4,5,34,4,0,26,0.27,0.53,0.13,0.40,0.87,1.13,0.13
4,William Hesmer\William-Hesmer,us USA,GK,Columbus Crew,28,30,30,0,2695,90,1,0,0,0,1,3,0,1,0.03,0.03,0.03,0.03,0.03,0.03,0.10
5,Nat Borchers\Nat-Borchers,us USA,DF,Real Salt Lake,28,30,30,0,2673,89,2,0,0,0,22,4,0,4,0.07,0.07,0.07,0.07,0.13,0.74,0.13
6,Kasey Keller\Kasey-Keller,us USA,GK,Seattle Sounders FC,40,30,30,0,2655,89,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Jordan Harvey\Jordan-Harvey,us USA,DF,Philadelphia Union,26,30,29,1,2620,87,1,0,0,0,28,3,0,3,0.03,0.03,0.03,0.03,0.10,0.96,0.10
8,Jeff Larentowicz\Jeff-Larentowicz,us USA,MFDF,Colorado Rapids,26,30,29,1,2617,87,4,0,0,0,31,4,0,13,0.14,0.14,0.14,0.14,0.45,1.07,0.14
9,Donovan Ricketts\Donovan-Ricketts,jm JAM,GK,LA Galaxy,32,29,29,0,2610,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Jimmy Nielsen\Jimmy-Nielsen,dk DEN,GK,Kansas City Wizards,32,29,29,0,2610,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
11,Matt Pickens\Matt-Pickens,us USA,GK,Colorado Rapids,27,29,29,0,2610,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
12,Juan Pablo Ángel\Juan-Pablo-Angel,co COL,FW,New York Red Bulls,34,30,29,1,2593,86,13,2,4,5,19,2,0,40,0.45,0.52,0.31,0.38,1.39,0.66,0.07
