name,startDate,endDate,league,hyphen,decade
Anibal Acevedo-Vila,2001,2005,congress,true,2000
Ginny Brown-Waite,2003,2011,congress,true,2000
Helen Chenoweth-Hage,1995,2001,congress,true,1990
Lincoln Diaz-Balart,1993,2011,congress,true,1990
Mario Diaz-Balart,2003,2019,congress,true,2000
Jenniffer Gonzalez-Colon,2017,2019,congress,true,2010
Cindy Hyde-Smith,2018,2019,congress,true,2010
Marjorie Margolies-Mezvinsky,1993,1995,congress,true,1990
Juanita Millender-McDonald,1995,2007,congress,true,1990
Carol Moseley-Braun,1993,1999,congress,true,1990
Debbie Mucarsel-Powell,2019,2019,congress,true,2010
Alexandria Ocasio-Cortez,2019,2019,congress,true,2010
Carlos A. Romero-Barcelo,1993,2001,congress,true,1990
Ileana Ros-Lehtinen,1989,2019,congress,true,1980
Lucille Roybal-Allard,1993,2019,congress,true,1990
Carol Shea-Porter,2007,2019,congress,true,2000
Austin Bibens-Dirkx,2017,2018,mlb,true,2010
Isiah Kiner-Falefa,2018,2018,mlb,true,2010
Sean Reid-Foley,2018,2018,mlb,true,2010
Ryan Rowland-Smith,2007,2014,mlb,true,2000
Louis Ken-Kwofie,1996,1996,mls,true,1990
Roland Vargas-Aguilera,2000,2001,mls,true,2000
Tico-Tico,2000,2000,mls,true,2000
Hamisi Amani-Dove,2002,2002,mls,true,2000
Hong Myung-bo,2003,2004,mls,true,2000
Kwame Watson-Siriboe,2010,2015,mls,true,2010
Lee Young-pyo,2012,2013,mls,true,2010
Andrew Jean-Baptiste,2012,2014,mls,true,2010
Nigel Reo-Coker,2013,2015,mls,true,2010
Bradley Wright-Phillips,2013,2018,mls,true,2010
Issey Nakajima-Farran,2014,2014,mls,true,2010
Jérémy Gagnon-Laparé,2014,2015,mls,true,2010
Erik Palmer-Brown,2014,2017,mls,true,2010
Anthony Jackson-Hamel,2014,2019,mls,true,2010
Louis Béland-Goyette,2014,2018,mls,true,2010
Saad Abdul-Salaam,2015,2018,mls,true,2010
Shaun Wright-Phillips,2015,2016,mls,true,2010
Femi Hollinger-Janzen,2016,2017,mls,true,2010
Bismark Adjei-Boateng,2017,2018,mls,true,2010
Bernie Ibini-Isei,2017,2018,mls,true,2010
Chris Odoi-Atsem,2017,2018,mls,true,2010
Kim Kee-hee,2018,2019,mls,true,2010
Ismael Tajouri-Shradi,2018,2019,mls,true,2010
Julian Dunn-Johnson,2018,2018,mls,true,2010
Ricky Lopez-Espin,2018,2018,mls,true,2010
Andrew Wheeler-Omiunu,2018,2018,mls,true,2010
Hwang In-beom,2019,2019,mls,true,2010
Zachary Brault-Guillard,2019,2019,mls,true,2010
Zaid Abdul-Aziz,1969,1978,nba,true,1960
Kareem Abdul-Jabbar,1970,1989,nba,true,1970
Mahmoud Abdul-Rauf,1991,2001,nba,true,1990
