name,startDate,endDate,league,hyphen
Steve Trittschuh,1996,2001,mls,false
Preki,1996,2005,mls,false
Tim Martin,1996,1999,mls,false
Mark Chung,1996,2005,mls,false
Scott Benedetti,1996,1997,mls,false
Jeff Agoos,1996,2005,mls,false
Denis Hamlett,1996,1996,mls,false
Matt Kmosko,1996,1999,mls,false
Mark Dodd,1996,1999,mls,false
Sean Bowers,1996,1999,mls,false
Steve Ralston,1996,2009,mls,false
Richard Farrer,1996,2002,mls,false
Diego Soñora,1996,2001,mls,false
Peter Vermes,1996,2002,mls,false
Martín Vásquez,1996,1998,mls,false
Lawrence Lozzano,1996,1999,mls,false
Rhett Harty,1996,1998,mls,false
Paul Bravo,1996,2001,mls,false
John Doyle,1996,2000,mls,false
Mark Santel,1996,2001,mls,false
Tony Meola,1996,2006,mls,false
Uche Okafor,1996,2000,mls,false
Roy Lassiter,1996,2002,mls,false
Mo Johnston,1996,2001,mls,false
Richie Williams,1996,2003,mls,false
Jason Kreis,1996,2007,mls,false
Chris Henderson,1996,2006,mls,false
Michael Emenalo,1996,1997,mls,false
Mark Dougherty,1996,2001,mls,false
Frank Yallop,1996,1998,mls,false
Janusz Michallik,1996,1998,mls,false
Mark Semioli,1996,2001,mls,false
John Harkes,1996,2002,mls,false
Mauricio Cienfuegos,1996,2003,mls,false
Geoff Aunger,1996,2001,mls,false
Cle Kooiman,1996,1998,mls,false
Robin Fraser,1996,2005,mls,false
Cobi Jones,1996,2007,mls,false
Dan Calichman,1996,2000,mls,false
Raúl Díaz Arce,1996,2001,mls,false
Mike Clark,1996,2003,mls,false
Eric Wynalda,1996,2001,mls,false
Eduardo Hurtado,1996,2000,mls,false
Missael Espinoza,1996,1996,mls,false
Brian McBride,1996,2010,mls,false
Shaun Bartlett,1996,1997,mls,false
Steve Pittman,1996,1997,mls,false
Greg Vanney,1996,2008,mls,false
Vitalis Takawira,1996,1999,mls,false
Troy Dayak,1996,2005,mls,false
Alexi Lalas,1996,2003,mls,false
Benedict Iroha,1996,1997,mls,false
Nicola Caricola,1996,1996,mls,false
Jeff Baicher,1996,1999,mls,false
Ivan McKinley,1996,2002,mls,false
Jorge Campos,1996,1998,mls,false
Tab Ramos,1996,2002,mls,false
Marco Etcheverry,1996,2003,mls,false
Scott Uderitz,1996,1999,mls,false
Jean Harbor,1996,1996,mls,false
Billy Thompson,1996,1999,mls,false
Chris Woods,1996,1996,mls,false
Iain Fraser,1996,1996,mls,false
Diego Gutiérrez,1996,2008,mls,false
Jorge Salcedo,1996,2000,mls,false
Carlos Valderrama,1996,2002,mls,false
Tony Sanneh,1996,2009,mls,false
Brian Haynes,1996,2000,mls,false
Mike Sorber,1996,2000,mls,false
Leonel Álvarez,1996,2001,mls,false
Garth Lagerwey,1996,2000,mls,false
Doctor Khumalo,1996,1997,mls,false
Miles Joseph,1996,2001,mls,false
Mario Gori,1996,2000,mls,false
Wélton,1996,2000,mls,false
Paul Caligiuri,1996,2001,mls,false
Harut Karapetyan,1996,2000,mls,false
Paul Keegan,1996,2000,mls,false
Kevin Wylie,1996,1997,mls,false
Adrián Paz,1996,1998,mls,false
Francis Okaroh,1996,2000,mls,false
Darren Sawatzky,1996,1999,mls,false
Jorge Rodas,1996,1996,mls,false
Robert Warzycha,1996,2002,mls,false
Beto Naveda,1996,1997,mls,false
Giuseppe Galderisi,1996,1997,mls,false
Tom Liner,1996,1997,mls,false
Hugo Sánchez,1996,1996,mls,false
Chris Armas,1996,2007,mls,false
Pete Marino,1996,2001,mls,false
Samuel Ekeme,1996,1996,mls,false
Clint Peay,1996,1999,mls,false
Steve Rammel,1996,1997,mls,false
Peter Woodring,1996,1996,mls,false
Jeff Causey,1996,2001,mls,false
Matt Knowles,1996,1998,mls,false
Jeff Zaun,1996,1999,mls,false
Scott Cannon,1996,2001,mls,false
Giovanni Savarese,1996,2000,mls,false
Eddie Pope,1996,2007,mls,false
Brian Bliss,1996,1998,mls,false
Ted Eck,1996,2001,mls,false
John DeBrito,1996,2001,mls,false
Aidan Heaney,1996,1996,mls,false
Roberto Donadoni,1996,1997,mls,false
Marcelo Balboa,1996,2002,mls,false
Gerell Elliott,1996,1998,mls,false
Evans Wise,1996,1998,mls,false
Manny Motajo,1996,1999,mls,false
Roy Wegerle,1996,1998,mls,false
Oscar Draguicevich,1996,1998,mls,false
Goran Hunjak,1996,1998,mls,false
Ian Butterworth,1996,1996,mls,false
Derek Backman,1996,1997,mls,false
Erik Imler,1996,1997,mls,false
Jim St. Andre,1996,1996,mls,false
Marcelo Carrera,1996,1998,mls,false
Ricardo Iribarren,1996,2000,mls,false
Mike Burns,1996,2002,mls,false
Mark Watson,1996,2001,mls,false
