name,season,hyphen
Steve Trittschuh,1996,false
Preki,1996,false
Tim Martin,1996,false
Mark Chung,1996,false
Scott Benedetti,1996,false
Jeff Agoos,1996,false
Denis Hamlett,1996,false
Matt Kmosko,1996,false
Mark Dodd,1996,false
Sean Bowers,1996,false
Steve Ralston,1996,false
Richard Farrer,1996,false
Diego Soñora,1996,false
Peter Vermes,1996,false
Martín Vásquez,1996,false
Lawrence Lozzano,1996,false
Rhett Harty,1996,false
Paul Bravo,1996,false
John Doyle,1996,false
Mark Santel,1996,false
Tony Meola,1996,false
Uche Okafor,1996,false
Roy Lassiter,1996,false
Mo Johnston,1996,false
Richie Williams,1996,false
Jason Kreis,1996,false
Chris Henderson,1996,false
Michael Emenalo,1996,false
Mark Dougherty,1996,false
Frank Yallop,1996,false
Janusz Michallik,1996,false
Mark Semioli,1996,false
John Harkes,1996,false
Mauricio Cienfuegos,1996,false
Geoff Aunger,1996,false
Cle Kooiman,1996,false
Robin Fraser,1996,false
Cobi Jones,1996,false
Dan Calichman,1996,false
Raúl Díaz Arce,1996,false
Mike Clark,1996,false
Eric Wynalda,1996,false
Eduardo Hurtado,1996,false
Missael Espinoza,1996,false
Brian McBride,1996,false
Shaun Bartlett,1996,false
Steve Pittman,1996,false
Greg Vanney,1996,false
Vitalis Takawira,1996,false
Troy Dayak,1996,false
Alexi Lalas,1996,false
Benedict Iroha,1996,false
Nicola Caricola,1996,false
Jeff Baicher,1996,false
Ivan McKinley,1996,false
Jorge Campos,1996,false
Tab Ramos,1996,false
Marco Etcheverry,1996,false
Scott Uderitz,1996,false
Jean Harbor,1996,false
Billy Thompson,1996,false
Chris Woods,1996,false
Iain Fraser,1996,false
Diego Gutiérrez,1996,false
Jorge Salcedo,1996,false
Carlos Valderrama,1996,false
Tony Sanneh,1996,false
Brian Haynes,1996,false
Mike Sorber,1996,false
Leonel Álvarez,1996,false
Garth Lagerwey,1996,false
Doctor Khumalo,1996,false
Miles Joseph,1996,false
Mario Gori,1996,false
Wélton,1996,false
Paul Caligiuri,1996,false
Harut Karapetyan,1996,false
Paul Keegan,1996,false
Kevin Wylie,1996,false
Adrián Paz,1996,false
Francis Okaroh,1996,false
Darren Sawatzky,1996,false
Jorge Rodas,1996,false
Robert Warzycha,1996,false
Beto Naveda,1996,false
Giuseppe Galderisi,1996,false
Tom Liner,1996,false
Hugo Sánchez,1996,false
Chris Armas,1996,false
Pete Marino,1996,false
Samuel Ekeme,1996,false
Clint Peay,1996,false
Steve Rammel,1996,false
Peter Woodring,1996,false
Jeff Causey,1996,false
Matt Knowles,1996,false
Jeff Zaun,1996,false
Scott Cannon,1996,false
Giovanni Savarese,1996,false
Eddie Pope,1996,false
Brian Bliss,1996,false
Ted Eck,1996,false
John DeBrito,1996,false
Aidan Heaney,1996,false
Roberto Donadoni,1996,false
Marcelo Balboa,1996,false
Gerell Elliott,1996,false
Evans Wise,1996,false
Manny Motajo,1996,false
Roy Wegerle,1996,false
Oscar Draguicevich,1996,false
Goran Hunjak,1996,false
Ian Butterworth,1996,false
Derek Backman,1996,false
Erik Imler,1996,false
Jim St. Andre,1996,false
Marcelo Carrera,1996,false
Ricardo Iribarren,1996,false
Mike Burns,1996,false
Mark Watson,1996,false
Mark Simpson,1996,false
Eddie Lewis,1996,false
Todd Yeagley,1996,false
Zak Ibsen,1996,false
Joe-Max Moore,1996,false
Ed Puskarich,1996,false
Frank Klopas,1996,false
Brian Maisonneuve,1996,false
Shawn Medved,1996,false
Bo Oshoniyi,1996,false
Dave Salzwedel,1996,false
Cristian da Silva,1996,false
David Vaudreuil,1996,false
A. J. Wood,1996,false
Rob Johnson,1996,false
Chris Unger,1996,false
Ted Chronopoulos,1996,false
Chad Ashton,1996,false
Dominic Kinnear,1996,false
Brad Wilson,1996,false
Brian Bates,1996,false
Jose Vasquez,1996,false
David Kramer,1996,false
Arash Noamouz,1996,false
Shane Battelle,1996,false
John Kerr Jr.,1996,false
Rubén Darío Hernández,1996,false
Matt McKeon,1996,false
Brandon Pollard,1996,false
Ted Gillen,1996,false
Kris Kelderman,1996,false
Richard Weiszmann,1996,false
Guillermo Jara,1996,false
Dusty Hudock,1996,false
Brad Friedel,1996,false
Washington Rodriguez,1996,false
Damian Silvera,1996,false
Sean Henderson,1996,false
Diego Viera,1996,false
Rob Smith,1996,false
Kevin Koetters,1996,false
Imad Baba,1996,false
Frankie Hejduk,1996,false
Adam Frye,1996,false
John Maessner,1996,false
Jaime Moreno,1996,false
Paul Wright,1996,false
Curt Onalfo,1996,false
Richard Sharpe,1996,false
Ántony de Ávila,1996,false
Tommy Reasoner,1996,false
Robert Ukrop,1996,false
Pat Harrington,1996,false
David Winner,1996,false
John Diffley,1996,false
John Kerr Jr.,1996,false
Mickey Kydes,1996,false
John Garvey,1996,false
Manny Lagos,1996,false
Eric Eichmann,1996,false
Edmundo Rodriguez,1996,false
Tom Lips,1996,false
Felipe Rodriguez,1996,false
Brian Kamler,1996,false
Ramiro Corrales,1996,false
Nelson Vargas,1996,false
Victor Mella,1996,false
Altimont Butler,1996,false
Zak Ibsen,1996,false
Scott Budnick,1996,false
Henry Gutierrez,1996,false
Raimo de Vries,1996,false
Andrew Restrepo,1996,false
Alan Prampin,1996,false
Chris Brauchle,1996,false
Ian Hennessy,1996,false
Brandon Ward,1996,false
Mark Watson,1996,false
Pat Harrington,1996,false
Jorge Flores,1996,false
Mike Ammann,1996,false
Troy Edwards,1996,false
Tayt Ianni,1996,false
Zach Thornton,1996,false
Dante Washington,1996,false
Giuseppe Galderisi,1996,false
Mike Huwiler,1996,false
Paul Holocher,1996,false
Nidal Baba,1996,false
Ante Razov,1996,false
Petter Villegas,1996,false
Berthy Suárez,1996,false
Todd Miller,1996,false
Victor Mella,1996,false
Mac Cozier,1996,false
Paul Young,1996,false
Said Fazlagić,1996,false
George Gelnovatch,1996,false
Thor Lee,1996,false
Josh McKay,1996,false
Jimmy Glenn,1996,false
