name,startDate,endDate,league,hyphen
Dave Andreychuk,1983,2006,nhl,false
Alexander Andrievski,1993,1993,nhl,false
Sven Andrighetto,2015,2019,nhl,false
Ron Andruff,1975,1979,nhl,false
Greg Andrusak,1994,2000,nhl,false
Mike Angelidis,2012,2016,nhl,false
Mel Angelstad,2004,2004,nhl,false
Lou Angotti,1965,1974,nhl,false
Darrel Anholt,1984,1984,nhl,false
Artem Anisimov,2009,2019,nhl,false
Hub Anslow,1948,1948,nhl,false
Victor Antipin,2018,2018,nhl,false
Mike Antonovich,1976,1984,nhl,false
Shawn Antoski,1991,1998,nhl,false
Nik Antropov,2000,2013,nhl,false
Ken Appleby,2018,2018,nhl,false
Mason Appleton,2019,2019,nhl,false
Syl Apps,1937,1948,nhl,false
Syl Apps,1971,1980,nhl,false
Al Arbour,1954,1971,nhl,false
Amos Arbour,1919,1924,nhl,false
Jack Arbour,1927,1929,nhl,false
John Arbour,1966,1972,nhl,false
Ty Arbour,1927,1931,nhl,false
Michel Archambault,1977,1977,nhl,false
Darren Archibald,2014,2019,nhl,false
Dave Archibald,1988,1997,nhl,false
Jim Archibald,1985,1987,nhl,false
Josh Archibald,2016,2019,nhl,false
Mark Arcobello,2013,2016,nhl,false
Ron Areshenkoff,1980,1980,nhl,false
Denis Arkhipov,2001,2007,nhl,false
Joel Armia,2015,2019,nhl,false
Bill Armstrong,1991,1991,nhl,false
Bob Armstrong,1951,1962,nhl,false
Chris Armstrong,2001,2004,nhl,false
Colby Armstrong,2006,2013,nhl,false
Derek Armstrong,1994,2010,nhl,false
George Armstrong,1950,1971,nhl,false
Murray Armstrong,1938,1946,nhl,false
Norm Armstrong,1963,1963,nhl,false
Riley Armstrong,2009,2009,nhl,false
Tim Armstrong,1989,1989,nhl,false
Chuck Arnason,1972,1979,nhl,false
Tyler Arnason,2002,2009,nhl,false
Jamie Arniel,2011,2011,nhl,false
Scott Arniel,1982,1992,nhl,false
Bill Arnold,2014,2014,nhl,false
Jason Arnott,1994,2012,nhl,false
Dean Arsene,2010,2010,nhl,false
Fred Arthur,1981,1983,nhl,false
Evgeny Artyukhin,2006,2010,nhl,false
John Arundel,1950,1950,nhl,false
Magnus Arvedson,1998,2004,nhl,false
Viktor Arvidsson,2015,2019,nhl,false
Arron Asham,1999,2014,nhl,false
Barry Ashbee,1966,1974,nhl,false
Don Ashby,1976,1981,nhl,false
Brent Ashton,1980,1993,nhl,false
Carter Ashton,2012,2015,nhl,false
Frank Ashworth,1947,1947,nhl,false
Tom Askey,1998,1998,nhl,false
Oscar Asmundson,1933,1938,nhl,false
Kaspars Astashenko,2000,2001,nhl,false
Mark Astley,1994,1996,nhl,false
Zach Aston-Reese,2018,2019,nhl,true
Hardy Astrom,1978,1981,nhl,false
Walt Atanas,1945,1945,nhl,false
Blair Atcheynum,1993,2001,nhl,false
Andreas Athanasiou,2016,2019,nhl,false
Cam Atkinson,2012,2019,nhl,false
Steve Atkinson,1969,1975,nhl,false
Bob Attwell,1980,1981,nhl,false
Ron Attwell,1968,1968,nhl,false
Nicolas Aube-Kubel,2019,2019,nhl,true
Jean-Sebastien Aubin,1999,2008,nhl,false
Norm Aubin,1982,1983,nhl,false
Serge Aubin,1999,2006,nhl,false
Pierre Aubry,1981,1985,nhl,false
Ossie Aubuchon,1943,1944,nhl,false
Adrian Aucoin,1995,2013,nhl,false
Keith Aucoin,2006,2014,nhl,false
Philippe Audet,1999,1999,nhl,false
Donald Audette,1991,2004,nhl,false
Les Auge,1981,1981,nhl,false
Justin Auger,2018,2018,nhl,false
Patrik Augusta,1994,1999,nhl,false
Alex Auld,2002,2012,nhl,false
Keith Aulie,2011,2015,nhl,false
Jared Aulin,2003,2003,nhl,false
Larry Aurie,1928,1939,nhl,false
Brady Austin,2017,2017,nhl,false
Yohann Auvitu,2017,2018,nhl,false
Sean Avery,2002,2012,nhl,false
Don Awrey,1964,1979,nhl,false
P.J. Axelsson,1998,2009,nhl,false
Vern Ayres,1931,1936,nhl,false
Pete Babando,1948,1953,nhl,false
Anton Babchuk,2004,2013,nhl,false
Bobby Babcock,1991,1993,nhl,false
Warren Babe,1988,1991,nhl,false
Yuri Babenko,2001,2001,nhl,false
Mitch Babin,1976,1976,nhl,false
John Baby,1978,1979,nhl,false
Dave Babych,1981,1999,nhl,false
Wayne Babych,1979,1987,nhl,false
Jergus Baca,1991,1992,nhl,false
Jason Bacashihua,2006,2007,nhl,false
Ryan Bach,1999,1999,nhl,false
Richard Bachman,2011,2019,nhl,false
David Backes,2007,2019,nhl,false
Johan Backlund,2010,2010,nhl,false
Mikael Backlund,2009,2019,nhl,false
Christian Backman,2003,2009,nhl,false
Mike Backman,1982,1984,nhl,false
Pete Backor,1945,1945,nhl,false
Nicklas Backstrom,2008,2019,nhl,false
Niklas Backstrom,2007,2016,nhl,false
Ralph Backstrom,1957,1973,nhl,false
Sven Baertschi,2012,2019,nhl,false
Drew Bagnall,2011,2011,nhl,false
Ace Bailey,1927,1934,nhl,false
Ace Bailey,1969,1978,nhl,false
Bob Bailey,1954,1958,nhl,false
Casey Bailey,2015,2017,nhl,false
Josh Bailey,2009,2019,nhl,false
Justin Bailey,2016,2019,nhl,false
Reid Bailey,1981,1984,nhl,false
Scott Bailey,1996,1997,nhl,false
Joel Baillargeon,1987,1989,nhl,false
Ken Baird,1972,1972,nhl,false
Bill Baker,1981,1983,nhl,false
Jamie Baker,1990,1999,nhl,false
Steve Baker,1980,1983,nhl,false
Peter Bakovic,1988,1988,nhl,false
Chris Bala,2002,2002,nhl,false
Jaroslav Balastik,2006,2007,nhl,false
Rudolfs Balcers,2019,2019,nhl,false
Helmut Balderis,1990,1990,nhl,false
Doug Baldwin,1946,1948,nhl,false
Jozef Balej,2004,2006,nhl,false
Mike Bales,1993,1997,nhl,false
Earl Balfour,1952,1961,nhl,false
Murray Balfour,1957,1965,nhl,false
Chase Balisy,2018,2018,nhl,false
Terry Ball,1968,1972,nhl,false
Keith Ballard,2006,2015,nhl,false
Maxim Balmochnykh,2000,2000,nhl,false
Dave Balon,1960,1973,nhl,false
Bryon Baltimore,1980,1980,nhl,false
Stan Baluik,1960,1960,nhl,false
Carter Bancks,2013,2013,nhl,false
