name,season
Lynn Williams,2016
Kealia Ohai,2016
Jessica McDonald,2016
Nadia Nadim,2016
Shea Groom,2016
Christen Press,2016
Manon Melis,2016
Sofia Huerta,2016
Kim Little,2016
Christine Sinclair,2016
Allie Long,2016
Kristen Edmonds,2016
Carli Lloyd,2016
Lianne Sanderson,2016
Samantha Mewis,2016
Dagný Brynjarsdóttir,2016
Lindsey Horan,2016
Estefanía Banini,2016
Sam Kerr,2016
Alex Morgan,2016
Jasmyne Spencer,2016
Katie Stengel,2016
Diana Matheson,2016
Rachel Daly,2016
Joanna Lohman,2016
Natasha Kai,2016
Nahomi Kawasumi,2016
Natasha Dowie,2016
Christine Nairn,2016
Cheyna Williams,2016
Janine Beckie,2016
Sarah Killion,2016
Makenzy Doniak,2016
Yael Averbuch,2016
Maya Hayes,2016
Leah Galton,2016
Beverly Yanez,2016
Stephanie McCaffrey,2016
Abby Dahlkemper,2016
Taylor Smith,2016
Julie King,2016
Crystal Dunn,2016
Tiffany McCarty,2016
Francisca Ordega,2016
Abby Erceg,2016
Frances Silva,2016
Casey Short,2016
Jennifer Hoy,2016
Denise O'Sullivan,2016
Sarah Hagen,2016
Angela Salem,2016
Jessica Fishlock,2016
Taylor Comeau,2016
Kristie Mewis,2016
Merritt Mathias,2016
Elise Krieghoff,2016
Megan Rapinoe,2016
Havana Solaun,2016
Rumi Utsugi,2016
Keelin Winters,2016
Rachel Corsie,2016
Kelly Conheeney,2016
Lauren Barnes,2016
Kathryn Williamson,2016
Whitney Engen,2016
Mollie Pathman,2016
Meg Morris,2016
Taylor Lytle,2016
Kelley O'Hara,2016
Raquel Rodriguez,2016
Erica Skroski,2016
Kendall Lorraine Fletcher,2016
Tobin Heath,2016
Tori Huster,2016
Alyssa Kleiner,2016
Ali Krieger,2016
Louise Schillgard,2016
Steph Catley,2016
Erika Tymrak,2016
Becky Sauerbrunn,2016
Heather O'Reilly,2016
Katie Schoepfer,2016
Chioma Ubogagu,2016
Kyah Simon,2016
Andressinha Andressinha,2016
Michaela Hahn,2016
Jaelene Hinkle,2016
Amber Brooks,2016
Poliana Poliana,2016
Cara Walls,2016
Christen Westphal,2016
Sam Witteman,2016
Desiree Scott,2016
Brooke Elby,2016
Brittany Taylor,2016
