name,startDate,endDate,league,hyphen
Lynn Williams,2016,2018,nwls,false
Kealia Ohai,2016,2018,nwls,false
Jessica McDonald,2016,2018,nwls,false
Nadia Nadim,2016,2017,nwls,false
Shea Groom,2016,2018,nwls,false
Christen Press,2016,2018,nwls,false
Manon Melis,2016,2016,nwls,false
Sofia Huerta,2016,2018,nwls,false
Kim Little,2016,2016,nwls,false
Christine Sinclair,2016,2018,nwls,false
Allie Long,2016,2018,nwls,false
Kristen Edmonds,2016,2018,nwls,false
Carli Lloyd,2016,2018,nwls,false
Lianne Sanderson,2016,2016,nwls,false
Samantha Mewis,2016,2018,nwls,false
Dagný Brynjarsdóttir,2016,2017,nwls,false
Lindsey Horan,2016,2018,nwls,false
Estefanía Banini,2016,2018,nwls,false
Sam Kerr,2016,2018,nwls,false
Alex Morgan,2016,2018,nwls,false
Jasmyne Spencer,2016,2018,nwls,false
Katie Stengel,2016,2018,nwls,false
Diana Matheson,2016,2018,nwls,false
Rachel Daly,2016,2018,nwls,false
Joanna Lohman,2016,2018,nwls,false
Natasha Kai,2016,2017,nwls,false
Nahomi Kawasumi,2016,2018,nwls,false
Natasha Dowie,2016,2017,nwls,false
Christine Nairn,2016,2018,nwls,false
Cheyna Williams,2016,2017,nwls,false
Janine Beckie,2016,2018,nwls,false
Sarah Killion,2016,2018,nwls,false
Makenzy Doniak,2016,2017,nwls,false
Yael Averbuch,2016,2018,nwls,false
Maya Hayes,2016,2017,nwls,false
Leah Galton,2016,2017,nwls,false
Beverly Yanez,2016,2018,nwls,false
Stephanie McCaffrey,2016,2018,nwls,false
Abby Dahlkemper,2016,2018,nwls,false
Taylor Smith,2016,2018,nwls,false
Julie King,2016,2017,nwls,false
Crystal Dunn,2016,2018,nwls,false
Tiffany McCarty,2016,2018,nwls,false
Francisca Ordega,2016,2018,nwls,false
Abby Erceg,2016,2018,nwls,false
Frances Silva,2016,2016,nwls,false
Casey Short,2016,2018,nwls,false
Jennifer Hoy,2016,2018,nwls,false
Denise O'Sullivan,2016,2018,nwls,false
Sarah Hagen,2016,2017,nwls,false
Angela Salem,2016,2018,nwls,false
Jessica Fishlock,2016,2018,nwls,false
Taylor Comeau,2016,2018,nwls,false
Kristie Mewis,2016,2018,nwls,false
Merritt Mathias,2016,2018,nwls,false
Elise Krieghoff,2016,2016,nwls,false
Megan Rapinoe,2016,2018,nwls,false
Havana Solaun,2016,2018,nwls,false
Rumi Utsugi,2016,2018,nwls,false
Keelin Winters,2016,2016,nwls,false
Rachel Corsie,2016,2018,nwls,false
Kelly Conheeney,2016,2017,nwls,false
Lauren Barnes,2016,2018,nwls,false
Kathryn Williamson,2016,2016,nwls,false
Whitney Engen,2016,2016,nwls,false
Mollie Pathman,2016,2016,nwls,false
Meg Morris,2016,2018,nwls,false
Taylor Lytle,2016,2018,nwls,false
Kelley O'Hara,2016,2018,nwls,false
Raquel Rodriguez,2016,2018,nwls,false
Erica Skroski,2016,2018,nwls,false
Kendall Lorraine Fletcher,2016,2016,nwls,false
Tobin Heath,2016,2018,nwls,false
Tori Huster,2016,2018,nwls,false
Alyssa Kleiner,2016,2018,nwls,false
Ali Krieger,2016,2018,nwls,false
Louise Schillgard,2016,2016,nwls,false
Steph Catley,2016,2018,nwls,false
Erika Tymrak,2016,2018,nwls,false
Becky Sauerbrunn,2016,2018,nwls,false
Heather O'Reilly,2016,2018,nwls,false
Katie Schoepfer,2016,2016,nwls,false
Chioma Ubogagu,2016,2018,nwls,false
Kyah Simon,2016,2018,nwls,false
Andressinha Andressinha,2016,2018,nwls,false
Michaela Hahn,2016,2018,nwls,false
Jaelene Hinkle,2016,2018,nwls,false
Amber Brooks,2016,2018,nwls,false
Poliana Poliana,2016,2018,nwls,false
Cara Walls,2016,2016,nwls,false
Christen Westphal,2016,2018,nwls,false
Sam Witteman,2016,2017,nwls,false
Desiree Scott,2016,2018,nwls,false
Brooke Elby,2016,2018,nwls,false
Brittany Taylor,2016,2017,nwls,false
Samantha Johnson,2016,2018,nwls,false
Tiffany Weimer,2016,2018,nwls,false
Laura Alleway,2016,2017,nwls,false
Christina Burkenroad,2016,2017,nwls,false
Josee Belanger,2016,2016,nwls,false
Julie Ertz,2016,2018,nwls,false
Lisa De Vanna,2016,2016,nwls,false
Mary Luba,2016,2017,nwls,false
Becky Edwards,2016,2016,nwls,false
Maddy Evans,2016,2017,nwls,false
Jamia Fields,2016,2017,nwls,false
Leah Lynn Gabriela Fortune,2016,2016,nwls,false
Alyssa Mautz,2016,2018,nwls,false
Monica Monica,2016,2018,nwls,false
Kaylyn Kyle,2016,2016,nwls,false
Sierra Lelii,2016,2016,nwls,false
Camille Levin,2016,2016,nwls,false
Toni Pressley,2016,2018,nwls,false
Kim Reynolds,2016,2016,nwls,false
Dani Weatherholt,2016,2018,nwls,false
Allie Wisner,2016,2016,nwls,false
Kathleen Naughton,2016,2018,nwls,false
McKenzie Berryhill,2016,2016,nwls,false
Celeste Boureille,2016,2018,nwls,false
Eunice Beckmann,2016,2016,nwls,false
Maureen Fitzgerald,2016,2016,nwls,false
Courtney Raetzman,2016,2016,nwls,false
Amandine Henry,2016,2017,nwls,false
Rebekah Roller,2016,2016,nwls,false
Kendall Johnson,2016,2017,nwls,false
Meghan Klingenberg,2016,2018,nwls,false
Samantha Lofton,2016,2016,nwls,false
Morgan Marlborough,2016,2016,nwls,false
Emily Menges,2016,2018,nwls,false
Shade Pratt,2016,2016,nwls,false
Hayley Raso,2016,2018,nwls,false
Katherine Reynolds,2016,2018,nwls,false
Meleana Shim,2016,2018,nwls,false
Mónica Rose Alvarado Rodriguez,2016,2016,nwls,false
Jennifer Skogerboe,2016,2016,nwls,false
Emily Sonnett,2016,2018,nwls,false
Mallory Weber,2016,2018,nwls,false
Kylie Strom,2016,2017,nwls,false
Morgan Brian,2016,2018,nwls,false
Michelle Cruz,2016,2016,nwls,false
Kiersten Dallstream,2016,2018,nwls,false
Lindsay Elston,2016,2017,nwls,false
Bianca Brinson,2016,2016,nwls,false
Stephanie Verdoia,2016,2016,nwls,false
Ellie Brush,2016,2016,nwls,false
Kassey Kallman,2016,2017,nwls,false
Allysha Chapman,2016,2018,nwls,false
Paige Nielsen,2016,2016,nwls,false
Carson Pickett,2016,2018,nwls,false
Megan Crosson,2016,2018,nwls,false
Elli Reed,2016,2017,nwls,false
Rachel Wood,2016,2016,nwls,false
Tessa Florio-Gavilsky,2016,2016,nwls,true
Anna María Gilbertson Rojas,2016,2016,nwls,false
Caity Heap,2016,2017,nwls,false
Melissa Henderson,2016,2017,nwls,false
Kim DeCesare,2016,2017,nwls,false
Theresa Diederich,2016,2016,nwls,false
Courtney Kathryn 'Coco' Goodson,2016,2016,nwls,false
Shawna Gordon,2016,2016,nwls,false
Kristin Grubka,2016,2016,nwls,false
Danielle Colaprico,2016,2018,nwls,false
Rebecca Moros,2016,2018,nwls,false
Ghoutia Karchouni,2016,2016,nwls,false
Stephanie Ochs,2016,2017,nwls,false
Amanda DaCosta,2016,2017,nwls,false
Ashley Nick,2016,2016,nwls,false
Cami Privett,2016,2017,nwls,false
Christie Pearce,2016,2017,nwls,false
Dominique Richardson,2016,2018,nwls,false
Cari Roccaro,2016,2018,nwls,false
Danielle Schulmann,2016,2016,nwls,false
Erin Simon,2016,2017,nwls,false
Nikki Stanton,2016,2018,nwls,false
Chestley Strother,2016,2016,nwls,false
Whitney Church,2016,2018,nwls,false
Caprice Dydasco,2016,2018,nwls,false
Cali Farquharson,2016,2018,nwls,false
Caroline Van Slambrouck,2016,2016,nwls,false
Estelle Johnson,2016,2018,nwls,false
Alex Arlitt,2016,2016,nwls,false
Vanessa DiBernardo,2016,2018,nwls,false
Katie Bowen,2016,2018,nwls,false
Alli Murphy,2016,2018,nwls,false
Jen Buczkowski,2016,2016,nwls,false
Amanda Frisbie,2016,2018,nwls,false
Megan Oyster,2016,2018,nwls,false
Haley Rosen,2016,2016,nwls,false
Line Sigvardsen Jensen,2016,2017,nwls,false
Janelle Kalyn Flaws,2016,2016,nwls,false
Shelina Zadorsky,2016,2018,nwls,false
Lady Patricia Andrade Rodríguez,2016,2016,nwls,false
Halimatu Ibrahim Ayinde,2016,2016,nwls,false
Janice Cayman,2016,2016,nwls,false
Caroline Kastor,2016,2016,nwls,false
Lo’eau LaBonta,2016,2018,nwls,false
Elizabeth Eddy,2016,2018,nwls,false
Mandy Laddish,2016,2016,nwls,false
Arin Gilliland,2016,2018,nwls,false
Kristen Hamilton,2016,2018,nwls,false
Molly Menchel,2016,2016,nwls,false
Ga-Eul Jeon,2016,2016,nwls,false
Alanna Kennedy,2016,2018,nwls,false
Adriana Leon,2016,2018,nwls,false
