name,startDate,endDate,league
Farhiya Abdi,2013,2015,wnba
Tajama Abraham,1997,1998,wnba
Svetlana Abrosimova,2001,2012,wnba
Natalie Achonwa,2015,2018,wnba
Jessica Adair,2010,2012,wnba
Danielle Adams,2011,2017,wnba
Jordan Adams,2003,2003,wnba
Elisa Aguilar,2002,2002,wnba
Matee Ajavon,2008,2017,wnba
Evelyn Akhator,2017,2017,wnba
Marcie Alberts,1997,1997,wnba
Markita Aldridge,1999,2001,wnba
Erin Alexander,1998,1998,wnba
Kayla Alexander,2013,2018,wnba
Tawona Alhaleem,2001,2001,wnba
Charel Allen,2008,2008,wnba
Lindsay Allen,2017,2018,wnba
Rebecca Allen,2015,2018,wnba
Ameryst Alston,2016,2017,wnba
Mactabene Amachree,2001,2005,wnba
Monique Ambers,1997,2002,wnba
Ambrosia Anderson,2006,2006,wnba
Chantelle Anderson,2003,2007,wnba
Jolene Anderson,2008,2008,wnba
Keisha Anderson,2000,2002,wnba
Mery Andrade,1999,2004,wnba
Yvette Angel,1997,1997,wnba
Nicky Anosike,2008,2012,wnba
Jayne Appel-Marinelli,2010,2016,wnba
Janeth Arcain,1997,2005,wnba
Anne Marie Armstrong,2013,2013,wnba
Katasha Artis,1997,1997,wnba
Marlies Askamp,1997,2002,wnba
Ariel Atkins,2018,2018,wnba
La'Tangela Atkinson,2006,2009,wnba
Morenike Atunrase,2008,2008,wnba
Seimone Augustus,2006,2018,wnba
Valeriane Ayayi,2015,2015,wnba
Angela Aycock,1999,2000,wnba
Miranda Ayim,2011,2011,wnba
Leigh Aziz,2003,2003,wnba
Jennifer Azzi,1999,2003,wnba
Tricia Bader Binford,1998,2002,wnba
Sherill Baker,2006,2009,wnba
Alison Bales,2007,2011,wnba
Rhonda Banchero,2000,2000,wnba
Rachel Banham,2016,2018,wnba
Elena Baranova,1997,2005,wnba
LaQuanda Barksdale,2001,2003,wnba
Adia Barnes,1998,2004,wnba
Quacy Barnes,1998,2002,wnba
Mistie Bass,2006,2016,wnba
Suzy Batkovic-Brown,2005,2009,wnba
Jacqueline Batteast,2005,2006,wnba
Ashley Battle,2005,2010,wnba
Cass Bauer-Bilodeau,1999,2002,wnba
Vicki Baugh,2014,2016,wnba
Alana Beard,2004,2018,wnba
Ryneldi Becenti,1997,1997,wnba
Kimberly Beck,2008,2008,wnba
Evgeniya Belyakova,2016,2016,wnba
Hind Ben Abdelkader,2018,2018,wnba
Jenni Benningfield,2005,2005,wnba
Alex Bentley,2013,2018,wnba
Val Berezhynska,2008,2008,wnba
Lucienne Berthieu,2002,2004,wnba
Tully Bevilaqua,1998,2012,wnba
Tiffany Bias,2014,2016,wnba
Jessica Bibby,2000,2000,wnba
Agnieszka Bibrzycka,2004,2006,wnba
Monique Billings,2018,2018,wnba
Sue Bird,2002,2018,wnba
Abby Bishop,2010,2016,wnba
Nina Bjedov,1999,1999,wnba
Angie Bjorklund,2011,2011,wnba
Tera Bjorklund,2004,2004,wnba
Chante Black,2009,2013,wnba
Debbie Black,1999,2004,wnba
Rhonda Blades,1997,1998,wnba
Cindy Blodgett,1998,2001,wnba
Nikki Blue,2006,2010,wnba
Octavia Blue,1998,2004,wnba
Shannon Bobbitt,2008,2012,wnba
Whitney Boddie,2009,2009,wnba
Ruthie Bolton,1997,2004,wnba
LaToya Bond,2006,2008,wnba
Kelsey Bone,2013,2018,wnba
Susanna Bonfiglio,2002,2002,wnba
DeWanna Bonner,2009,2018,wnba
Karen Booker,1997,1998,wnba
Jenny Boucek,1997,1997,wnba
Kelly Boucher,1998,1998,wnba
Lindsay Bowen,2007,2007,wnba
Brittany Boyd,2015,2018,wnba
Carla Boyd,1998,2001,wnba
Crystal Bradford,2015,2015,wnba
Gennifer Brandon,2014,2014,wnba
Albena Branzova,1998,1998,wnba
Gergana Branzova,1998,1998,wnba
Cierra Bravard,2013,2013,wnba
Janice Braxton,1997,1999,wnba
Kara Braxton,2005,2014,wnba
Angie Braziel,1999,2001,wnba
Razija Brcaninovic,1998,1998,wnba
Jessica Breland,2011,2018,wnba
Reshea Bristol,2001,2001,wnba
Michelle Brogan,1998,2000,wnba
Sandy Brondello,1998,2003,wnba
Cindy Brown,1998,1999,wnba
Coretta Brown,2003,2006,wnba
Edwina Brown,2000,2006,wnba
Kiesha Brown,2002,2010,wnba
La'Shawn Brown,1998,1998,wnba
Lesley Brown,1999,1999,wnba
Lexie Brown,2018,2018,wnba
Rushia Brown,1997,2003,wnba
Marla Brumfield,2000,2003,wnba
Jessica Brungo,2004,2006,wnba
Sophie Brunner,2017,2017,wnba
Rebekkah Brunson,2004,2018,wnba
Adut Bulgak,2016,2017,wnba
Vicky Bullett,1997,2002,wnba
Cierra Burdick,2015,2017,wnba
Heather Burge,1999,1999,wnba
Heidi Burge,1997,1998,wnba
Annie Burgess,1999,2003,wnba
Linda Burgess,1997,2000,wnba
Alisa Burras,1999,2003,wnba
Janell Burse,2001,2009,wnba
Heather Butler,2014,2014,wnba
Tasha Butts,2004,2004,wnba
Latasha Byears,1997,2008,wnba
Kelley Cain,2012,2014,wnba
Liz Cambage,2011,2018,wnba
Edna Campbell,1999,2005,wnba
Michelle Campbell,1999,2000,wnba
Michelle Campbell,2013,2013,wnba
Jordin Canada,2018,2018,wnba
Emma Cannon,2017,2017,wnba
Dominique Canty,1999,2012,wnba
Jamie Carey,2005,2008,wnba
Essence Carson,2008,2018,wnba
Amisha Carter,2004,2005,wnba
Deborah Carter,1997,1998,wnba
Sydney Carter,2012,2015,wnba
Swin Cash,2002,2016,wnba
Jamie Cassidy,2000,2000,wnba
Iziane Castro Marques,2002,2013,wnba
Tamika Catchings,2002,2016,wnba
LaNeishea Caufield,2002,2002,wnba
Elisabeth Cebrian,1998,1998,wnba
Keri Chaconas,1998,1998,wnba
Cori Chambers,2007,2007,wnba
Quianna Chaney,2008,2008,wnba
Jill Chapman-Daily,2002,2002,wnba
Daedra Charles,1997,1997,wnba
Tina Charles,2010,2018,wnba
Sonia Chase,1998,1999,wnba
Joy Cheek,2010,2011,wnba
Felicia Chester,2011,2011,wnba
Kaayla Chones,2004,2006,wnba
Saniya Chong,2017,2018,wnba
Kayte Christensen,2002,2007,wnba
Karima Christmas-Kelly,2011,2018,wnba
Shameka Christon,2004,2015,wnba
Kristi Cirone,2009,2009,wnba
Layshia Clarendon,2013,2018,wnba
Alysha Clark,2012,2018,wnba
Margold Clark,1997,1997,wnba
Michelle Cleary,2000,2001,wnba
Courtney Clements,2013,2015,wnba
Stacy Clinesmith,2000,2002,wnba
Natasha Cloud,2015,2018,wnba
Alaina Coates,2018,2018,wnba
Nia Coffey,2017,2018,wnba
Claire Coggins,2007,2007,wnba
Monique Coker,2004,2004,wnba
Courtney Coleman,2003,2003,wnba
Marissa Coleman,2009,2018,wnba
Nadia Colhado,2014,2017,wnba
Katrina Colleton,1997,2001,wnba
Sydney Colson,2011,2018,wnba
Megan Compain,1997,1997,wnba
