name,startDate,endDate,league
Lynn Williams,2016,2018,nwls
Kealia Ohai,2016,2018,nwls
Jessica McDonald,2016,2018,nwls
Nadia Nadim,2016,2017,nwls
Shea Groom,2016,2018,nwls
Christen Press,2016,2018,nwls
Manon Melis,2016,2016,nwls
Sofia Huerta,2016,2018,nwls
Kim Little,2016,2016,nwls
Christine Sinclair,2016,2018,nwls
Allie Long,2016,2018,nwls
Kristen Edmonds,2016,2018,nwls
Carli Lloyd,2016,2018,nwls
Lianne Sanderson,2016,2016,nwls
Samantha Mewis,2016,2018,nwls
Dagný Brynjarsdóttir,2016,2017,nwls
Lindsey Horan,2016,2018,nwls
Estefanía Banini,2016,2018,nwls
Sam Kerr,2016,2018,nwls
Alex Morgan,2016,2018,nwls
Jasmyne Spencer,2016,2018,nwls
Katie Stengel,2016,2018,nwls
Diana Matheson,2016,2018,nwls
Rachel Daly,2016,2018,nwls
Joanna Lohman,2016,2018,nwls
Natasha Kai,2016,2017,nwls
Nahomi Kawasumi,2016,2018,nwls
Natasha Dowie,2016,2017,nwls
Christine Nairn,2016,2018,nwls
Cheyna Williams,2016,2017,nwls
Janine Beckie,2016,2018,nwls
Sarah Killion,2016,2018,nwls
Makenzy Doniak,2016,2017,nwls
Yael Averbuch,2016,2018,nwls
Maya Hayes,2016,2017,nwls
Leah Galton,2016,2017,nwls
Beverly Yanez,2016,2018,nwls
Stephanie McCaffrey,2016,2018,nwls
Abby Dahlkemper,2016,2018,nwls
Taylor Smith,2016,2018,nwls
Julie King,2016,2017,nwls
Crystal Dunn,2016,2018,nwls
Tiffany McCarty,2016,2018,nwls
Francisca Ordega,2016,2018,nwls
Abby Erceg,2016,2018,nwls
Frances Silva,2016,2016,nwls
Casey Short,2016,2018,nwls
Jennifer Hoy,2016,2018,nwls
Denise O'Sullivan,2016,2018,nwls
Sarah Hagen,2016,2017,nwls
Angela Salem,2016,2018,nwls
Jessica Fishlock,2016,2018,nwls
Taylor Comeau,2016,2018,nwls
Kristie Mewis,2016,2018,nwls
Merritt Mathias,2016,2018,nwls
Elise Krieghoff,2016,2016,nwls
Megan Rapinoe,2016,2018,nwls
Havana Solaun,2016,2018,nwls
Rumi Utsugi,2016,2018,nwls
Keelin Winters,2016,2016,nwls
Rachel Corsie,2016,2018,nwls
Kelly Conheeney,2016,2017,nwls
Lauren Barnes,2016,2018,nwls
Kathryn Williamson,2016,2016,nwls
Whitney Engen,2016,2016,nwls
Mollie Pathman,2016,2016,nwls
Meg Morris,2016,2018,nwls
Taylor Lytle,2016,2018,nwls
Kelley O'Hara,2016,2018,nwls
Raquel Rodriguez,2016,2018,nwls
Erica Skroski,2016,2018,nwls
Kendall Lorraine Fletcher,2016,2016,nwls
Tobin Heath,2016,2018,nwls
Tori Huster,2016,2018,nwls
Alyssa Kleiner,2016,2018,nwls
Ali Krieger,2016,2018,nwls
Louise Schillgard,2016,2016,nwls
Steph Catley,2016,2018,nwls
Erika Tymrak,2016,2018,nwls
Becky Sauerbrunn,2016,2018,nwls
Heather O'Reilly,2016,2018,nwls
Katie Schoepfer,2016,2016,nwls
Chioma Ubogagu,2016,2018,nwls
Kyah Simon,2016,2018,nwls
Andressinha Andressinha,2016,2018,nwls
Michaela Hahn,2016,2018,nwls
Jaelene Hinkle,2016,2018,nwls
Amber Brooks,2016,2018,nwls
Poliana Poliana,2016,2018,nwls
Cara Walls,2016,2016,nwls
Christen Westphal,2016,2018,nwls
Sam Witteman,2016,2017,nwls
Desiree Scott,2016,2018,nwls
Brooke Elby,2016,2018,nwls
Brittany Taylor,2016,2017,nwls
Samantha Johnson,2016,2018,nwls
Tiffany Weimer,2016,2018,nwls
Laura Alleway,2016,2017,nwls
Christina Burkenroad,2016,2017,nwls
Josee Belanger,2016,2016,nwls
Julie Ertz,2016,2018,nwls
Lisa De Vanna,2016,2016,nwls
Mary Luba,2016,2017,nwls
Becky Edwards,2016,2016,nwls
Maddy Evans,2016,2017,nwls
Jamia Fields,2016,2017,nwls
Leah Lynn Gabriela Fortune,2016,2016,nwls
Alyssa Mautz,2016,2018,nwls
Monica Monica,2016,2018,nwls
Kaylyn Kyle,2016,2016,nwls
Sierra Lelii,2016,2016,nwls
Camille Levin,2016,2016,nwls
Toni Pressley,2016,2018,nwls
Kim Reynolds,2016,2016,nwls
Dani Weatherholt,2016,2018,nwls
Allie Wisner,2016,2016,nwls
Kathleen Naughton,2016,2018,nwls
McKenzie Berryhill,2016,2016,nwls
Celeste Boureille,2016,2018,nwls
Eunice Beckmann,2016,2016,nwls
Maureen Fitzgerald,2016,2016,nwls
Courtney Raetzman,2016,2016,nwls
Amandine Henry,2016,2017,nwls
Rebekah Roller,2016,2016,nwls
Kendall Johnson,2016,2017,nwls
Meghan Klingenberg,2016,2018,nwls
Samantha Lofton,2016,2016,nwls
Morgan Marlborough,2016,2016,nwls
Emily Menges,2016,2018,nwls
Shade Pratt,2016,2016,nwls
Hayley Raso,2016,2018,nwls
Katherine Reynolds,2016,2018,nwls
Meleana Shim,2016,2018,nwls
Mónica Rose Alvarado Rodriguez,2016,2016,nwls
Jennifer Skogerboe,2016,2016,nwls
Emily Sonnett,2016,2018,nwls
Mallory Weber,2016,2018,nwls
Kylie Strom,2016,2017,nwls
Morgan Brian,2016,2018,nwls
Michelle Cruz,2016,2016,nwls
Kiersten Dallstream,2016,2018,nwls
Lindsay Elston,2016,2017,nwls
Bianca Brinson,2016,2016,nwls
Stephanie Verdoia,2016,2016,nwls
Ellie Brush,2016,2016,nwls
Kassey Kallman,2016,2017,nwls
Allysha Chapman,2016,2018,nwls
Paige Nielsen,2016,2016,nwls
Carson Pickett,2016,2018,nwls
Megan Crosson,2016,2018,nwls
Elli Reed,2016,2017,nwls
Rachel Wood,2016,2016,nwls
Tessa Florio-Gavilsky,2016,2016,nwls
Anna María Gilbertson Rojas,2016,2016,nwls
Caity Heap,2016,2017,nwls
Melissa Henderson,2016,2017,nwls
Kim DeCesare,2016,2017,nwls
Theresa Diederich,2016,2016,nwls
Courtney Kathryn 'Coco' Goodson,2016,2016,nwls
Shawna Gordon,2016,2016,nwls
Kristin Grubka,2016,2016,nwls
Danielle Colaprico,2016,2018,nwls
Rebecca Moros,2016,2018,nwls
Ghoutia Karchouni,2016,2016,nwls
Stephanie Ochs,2016,2017,nwls
Amanda DaCosta,2016,2017,nwls
Ashley Nick,2016,2016,nwls
Cami Privett,2016,2017,nwls
Christie Pearce,2016,2017,nwls
Dominique Richardson,2016,2018,nwls
Cari Roccaro,2016,2018,nwls
Danielle Schulmann,2016,2016,nwls
Erin Simon,2016,2017,nwls
Nikki Stanton,2016,2018,nwls
Chestley Strother,2016,2016,nwls
Whitney Church,2016,2018,nwls
Caprice Dydasco,2016,2018,nwls
Cali Farquharson,2016,2018,nwls
Caroline Van Slambrouck,2016,2016,nwls
Estelle Johnson,2016,2018,nwls
Alex Arlitt,2016,2016,nwls
Vanessa DiBernardo,2016,2018,nwls
Katie Bowen,2016,2018,nwls
Alli Murphy,2016,2018,nwls
Jen Buczkowski,2016,2016,nwls
Amanda Frisbie,2016,2018,nwls
Megan Oyster,2016,2018,nwls
Haley Rosen,2016,2016,nwls
Line Sigvardsen Jensen,2016,2017,nwls
Janelle Kalyn Flaws,2016,2016,nwls
Shelina Zadorsky,2016,2018,nwls
Lady Patricia Andrade Rodríguez,2016,2016,nwls
Halimatu Ibrahim Ayinde,2016,2016,nwls
Janice Cayman,2016,2016,nwls
Caroline Kastor,2016,2016,nwls
Lo’eau LaBonta,2016,2018,nwls
Elizabeth Eddy,2016,2018,nwls
Mandy Laddish,2016,2016,nwls
Arin Gilliland,2016,2018,nwls
Kristen Hamilton,2016,2018,nwls
Molly Menchel,2016,2016,nwls
Ga-Eul Jeon,2016,2016,nwls
Alanna Kennedy,2016,2018,nwls
Adriana Leon,2016,2018,nwls
Laura Liedle,2016,2016,nwls
Alexa Newfield,2016,2018,nwls
Sarah Gorden,2016,2018,nwls
Courtney Niemiec,2016,2017,nwls
Brianne Reed,2016,2017,nwls
Meredith Speck,2016,2018,nwls
Brittany Ratcliffe,2016,2018,nwls
McCall Zerboni,2016,2018,nwls
Nicole Barnhart,2016,2018,nwls
Kelsey Wys,2016,2018,nwls
Lydia Williams,2016,2018,nwls
Ashlyn Harris,2016,2018,nwls
